Block,Year,Agrostis spp.,Anemone nemorosa,Anthoxanthum odoratum,Athyrium filix-femina,Blechnum spicant,Brachypodium sylvaticum,Cardamine flexuosa,Carex demissa,Carex pilulifera,Carex remota,Carex sylvatica,Cerastium vulgatum,Circaea lutetiana,Cirsium vulgare,Dactylis glomerata,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dryopteris austriaca,Dryopteris filix-mas,Dryopteris spinulosa,Endymion nonscriptus,Epilibium montanum,Epilobium parviflorum,Euphorbia amygdaliodes,Festuca ovina,Galium palustre,Galium saxatile,Geum urbanum,Glyceria sp.,Hedera helix,Holcus mollis,Hypericum androsaemum,Juncus buffonius,Juncus effusus,Lonicera periclymenum,Lotus corniculatus,Luzula campestris,Luzula multiflora,Luzula pilosa,Lysimachia nemorum,Molinia caerulea,Oxalis acetosella,Poa annua,Poa trivialis,Polypodium vulgare,Potentilla erecta,Pteridium aquilinum,Ranunculus flammula,Ranunculus repens,Rubus fruticosus,Ruscus aculeatus,Scutellaria minor,Senecio sylvatica,Stellaria alsine,Veronica chamaedrys,Veronica officinalis,Viola riviniana,Lotus pedunculatus,Melampyrum pratense,Montia fontanum,Polypodium interjectum,Ranunculus sarduous,Taraxacum officinalis agg.,Vaccinium myrtillus ,Ground_cover
35,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
36,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
37,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2
38,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,3
39,1964,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,5
40,1964,1,,,,,,,,1,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,12
41,1964,1,,1,,,,,,1,,,,,,,1,,,,1,,,,,,1,,,,,1,1,,,,1,,,,,,,1,,,,,1,,,1,1,,,,1,,,,,,,,,,14
42,1964,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5
43,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
46,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
49,1964,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,7
50,1964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4
1,1996,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,90,,,1,,,,,,,,,,,,,,,90
1,2014,0.5,,,0.5,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,90,,,,,,,,,,,,,,,,,,90
2,1996,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,80
2,2014,1,,,0.5,0.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,1,,,,,,,,,,,,,,,80
3,1996,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,90,,,1,,,,,,,,,,,,,,,99
3,2014,1,0.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,90,,,1,,,,,,,,,,,,,,,99
4,1996,10,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,60,,,1,,,,,,,,,,,,,,,95
4,2014,30,,,,,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,0.5,,,,,,,,,,,,0.5,,,,,60,,,0.5,,,,,,,0.5,,,,,,,,95
5,1996,70,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,5,1,,,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,,,80
5,2014,60,,,,,,0.5,,0.5,15,,,,,,,,0.5,0.5,,,,,,1,,,,,,0.5,0.5,,,15,,,,0.5,,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,,,75
6,1996,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,20
6,2014,30,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,1,,,,0.5,,,1,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,35
7,1996,70,,,,,,1,,1,,,,,,,,1,1,,,1,,,1,,,1,1,,,,,,,15,,,,,,,15,1,,,,,,,1,1,,,,1,,,,,,,,,,,99
7,2014,50,,,,,,,,,0.5,,0.5,,0.5,,,,0.5,0.5,,,,,,,,0.5,0.5,,,0.5,,,,15,0.5,,,0.5,,,30,0.5,,,,0.5,,,,2,,,,0.5,0.5,,,,,,,,,,90
8,1996,30,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,10,,,,,,,20,1,,,,,,,,1,,,,,,,,,,,,,,,70
8,2014,10,,,,,,,,0.5,,,0.5,,0.5,,,,0.5,0.5,,,,,,,,0.5,,,,0.5,,,,0.5,,,,0.5,,,75,0.5,,,,0.5,,,,0.5,,,,,,,,,,,,,,,90
9,1996,15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,25
9,2014,10,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
10,1996,25,,,1,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,5,,,,,,,60,1,,,,,,,,1,,,,,,,1,,,,,,,,90
10,2014,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,90
11,1996,15,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,5,1,,,,1,,,,1,,,,,,,,,,,,,,,20
11,2014,5,,0.5,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,0.5,,,,5,0.5,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,,,25
12,1996,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5
12,2014,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.5
13,1996,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.5
13,2014,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2.5
14,1996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2.5
14,2014,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,2.5
15,1996,25,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,45
15,2014,20,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,1,,,,,,,30,,,,,0.5,,,,0.5,,,,,,,,,,,,,,0.5,60
16,1996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
16,2014,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2.5
17,1996,30,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,40
17,2014,10,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,20
18,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.5
18,2014,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.5
19,1996,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,20
19,2014,15,,,,,,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,20
20,1996,10,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,20
