,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
7526,1676,1996,11,780.7,Q,2,Enclosed,39,50.8537267,-1.531793988,50,1,NA,48.4
7527,1676,2014,11,780.7,Q,NA,Enclosed,39,50.86065401,-1.538721295,60,1,NA,55.06761031
7533,1677,1984,11.4,792,I,3,Enclosed,39,50.853625,-1.531797588,10,1,NA,4
7534,1677,1988,11.4,792,I,3,Enclosed,39,50.853625,-1.531797588,10,1,NA,5
7535,1677,1996,11.4,792,I,3,Enclosed,39,50.853625,-1.531797588,10,1,NA,7.6
7536,1677,2014,11.4,792,I,NA,Enclosed,39,50.86065041,-1.538822995,10,0,NA,8.435211984
7542,1678,1984,11.6,793.4,I,3,Enclosed,39,50.8536124,-1.531799388,10,NA,NA,3.5
7543,1678,1988,11.6,793.4,I,3,Enclosed,39,50.8536124,-1.531799388,10,NA,NA,4
7544,1678,1996,11.6,793.4,I,3,Enclosed,39,50.8536124,-1.531799388,10,NA,NA,4.5
7549,1679,1959,12,791.1,Q,2,Enclosed,39,50.8536331,-1.531802988,20,0,19,19
7550,1679,1964,12,791.1,Q,2,Enclosed,39,50.8536331,-1.531802988,30,0,NA,20
7555,167U,1959,17,25,I,NA,Unenclosed,52,50.85220797,-1.531055,10,1,1,1
