,Tree_ID,Year,Dist_west,Dist_south,Sp,Sp_code,En.Un,Block_new,Lat,Long,Class,Status2,DBH.y,DBH_mean
6921,1617,1984,14.7,740.7,I,3,Enclosed,37,50.8540867,-1.531827288,20,1,NA,12.4
6922,1617,1988,14.7,740.7,I,3,Enclosed,37,50.8540867,-1.531827288,20,1,NA,12.4
6923,1617,1996,14.7,740.7,I,3,Enclosed,37,50.8540867,-1.531827288,20,1,NA,16.6
6924,1617,2014,14.7,740.7,I,NA,Enclosed,37,50.86062071,-1.538361295,20,0,NA,16.55211408
6927,1618,1959,14.8,740.1,I,3,Enclosed,37,50.8540921,-1.531828188,10,1,5.25,5.25
6929,1618,1964,14.8,740.1,I,3,Enclosed,37,50.8540921,-1.531828188,10,1,NA,4
6930,1618,1984,14.8,740.1,I,3,Enclosed,37,50.8540921,-1.531828188,10,1,NA,3.8
6931,1618,1988,14.8,740.1,I,3,Enclosed,37,50.8540921,-1.531828188,10,1,NA,4
6932,1618,1996,14.8,740.1,I,3,Enclosed,37,50.8540921,-1.531828188,10,1,NA,5.1
6936,1619,1959,15.2,741,I,3,Enclosed,37,50.854084,-1.531831788,10,1,5.5,5.5
6938,1619,1964,15.2,741,I,3,Enclosed,37,50.854084,-1.531831788,10,1,NA,5
6943,161U,1959,18.3,25,I,NA,Unenclosed,52,50.85219627,-1.531055,10,1,3,3
6944,161U,1964,18.3,25,I,NA,Unenclosed,52,50.85219627,-1.531055,10,1,NA,3.5
6949,162,1959,2.6,101.6,I,3,Enclosed,5,50.85983861,-1.531718388,10,1,0.5,0.5
6950,162,1964,2.6,101.6,I,3,Enclosed,5,50.85983861,-1.531718388,10,1,NA,0.6
6966,1621,1959,16.3,750.5,F,1,Enclosed,37,50.8539985,-1.531841688,NA,1,28,28
6968,1621,1964,16.3,750.5,F,1,Enclosed,37,50.8539985,-1.531841688,40,1,NA,30
6969,1621,1984,16.3,750.5,F,1,Enclosed,37,50.8539985,-1.531841688,40,1,NA,33.4
6970,1621,1988,16.3,750.5,F,1,Enclosed,37,50.8539985,-1.531841688,40,1,NA,33.7
6971,1621,1996,16.3,750.5,F,1,Enclosed,37,50.8539985,-1.531841688,40,1,NA,35.3
6972,1621,2014,16.3,750.5,F,NA,Enclosed,37,50.86060631,-1.538449495,40,1,NA,38.83380611
6985,1623,1959,0.4,778.4,I,3,Enclosed,38,50.8537474,-1.531698588,20,1,11,11
6986,1623,1964,0.4,778.4,I,3,Enclosed,38,50.8537474,-1.531698588,20,1,NA,12
6987,1623,1984,0.4,778.4,I,3,Enclosed,38,50.8537474,-1.531698588,20,1,NA,10.2
6988,1623,1988,0.4,778.4,I,3,Enclosed,38,50.8537474,-1.531698588,20,1,NA,10.2
6989,1623,1996,0.4,778.4,I,3,Enclosed,38,50.8537474,-1.531698588,20,1,NA,10.5
6990,1623,2014,0.4,778.4,I,NA,Enclosed,38,50.86074941,-1.538700595,20,0,NA,10.50422624
6996,1624,1984,0.4,778.4,I,3.01,Enclosed,38,50.8537474,-1.531698588,10,1,NA,4
6997,1624,1988,0.4,778.4,I,3.01,Enclosed,38,50.8537474,-1.531698588,10,1,NA,4.3
6998,1624,1996,0.4,778.4,I,3.01,Enclosed,38,50.8537474,-1.531698588,10,1,NA,6.4
