Block,Year,A,B,Cr,F,Fr.x,I,PM,Q,Sc,T,Sorensen_BA,A.x,B.x,Cr.x,F.x,I.x,PM.x,Q.x,Sc.x,T.x,Sorensen.x,A.y,B.y,Cr.y,F.y,Fr.y,I.y,PM.y,Q.y,Sc.y,T.y,Sorensen.SD,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,SDS,BAS,BAFS,BAQS,SPRS,LightS,MoistS,NitS,BAPERCM,BARAWM,BAFPERCM,BAFRAWM,BAQPERCM,BAQRAWM,BAQFPERCM,BAQFRAWM,SDPERCM,SDRAWM,SPRPERCM,SPRRAWM,BAPERCS,BARAWS,BAFPERCS,BAFRAWS,BAQPERCS,BAQRAWS,BAQFPERCS,BAQFRAWS,SDPERCS,SDRAWS,SPRPERCS,SPRRAWS,LightPercM,LightRawM,MoistPercM,MoistRawM,NitPercM,NitRawM,LightPercS,LightRawS,MoistPercS,MoistRawS,NitPercS,NitRawS,Northing,Easting
3,1964,0,0,0,10.4634670319,0,1.3685562997,0,37.0393773858,0,0,1,17,0,0,22,20,0,0,0,0,1,17,0,0,23,0,22,0,5,0,0,1,67,48.8714007174,10.4634670319,37.0393773858,4,4.0875853757,2,1.2421052632,59,0.1721396425,0.0214610048,0,3,2.3840538383,4.3840538383,4.7506558686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106868,433049
3,1984,0,0,0,13.986684653,0,0.5410607948,0,38.467604311,0,0,0.9432696142,0,0,0,0,2,0,0,0,0,0.0655737705,0,0,0,1,0,3,0,5,0,0,0.2368421053,9,52.9953497588,13.986684653,38.467604311,3,3.9238893514,2,1.2741324572,2,0.1747510914,0,0,1,3,5,5,0.0843836882,4.1239490414,0.3367160818,3.5232176212,0.0385596904,1.4282269252,0.104234696,4.9514445464,-0.8656716418,-58,-0.25,-1,0.0151705258,0.0026114489,-1,-0.0214610048,0,0,-1,-0.0214610048,-0.9661016949,-57,-0.6666666667,-2,-0.0400471205,-0.1636960243,0,0,0.0257846053,0.032027194,0.258360844,0.6159461617,0.1404969429,0.6159461617,0.0524862542,0.2493441314,106868,433049
3,1988,0,0,0,14.1862543264,0,0,0,38.1913797769,0,0,0.9383367358,0,0,0,0,2,0,0,0,0,0.0655737705,0,0,0,1,0,2,0,5,0,0,0.2133333333,8,52.3776341033,14.1862543264,38.1913797769,3,3.9166174021,2,1.2708456495,2,0.2321047922,0,0,1,3,5,5,0.0717440739,3.5062333859,0.3557890786,3.7227872945,0.0311020992,1.1520023911,0.1026210061,4.8747896856,-0.8805970149,-59,-0.25,-1,0.3483517737,0.0599651498,-1,-0.0214610048,0,0,-1,-0.0214610048,-0.9661016949,-57,-0.6666666667,-2,-0.0418261535,-0.1709679735,0,0,0.0231384466,0.0287403863,0.258360844,0.6159461617,0.1404969429,0.6159461617,0.0524862542,0.2493441314,106868,433049
3,1996,0,0,0,13.986684653,0,0.2042820623,0,29.3946650925,0,0,0.8666169158,0,0,0,0,3,0,0,0,0,0.0967741935,0,0,0,1,0,4,0,4,0,0,0.2368421053,9,43.5856318078,13.986684653,29.3946650925,3,3.7070210893,2,1.3255881842,3,0.1152179106,0,0,1,3,5,5,-0.1081566894,-5.2857689096,0.3367160818,3.5232176212,-0.20639419,-7.6447122933,-0.0867631133,-4.1214946722,-0.8656716418,-58,-0.25,-1,-0.3306718376,-0.0569217319,-1,-0.0214610048,0,0,-1,-0.0214610048,-0.9491525424,-56,-0.6666666667,-2,-0.0931024679,-0.3805642863,0,0,0.0672108262,0.083482921,0.258360844,0.6159461617,0.1404969429,0.6159461617,0.0524862542,0.2493441314,106868,433049
3,2014,0,0,0,15.0451161608,0,0.9338915388,0,17.3258080138,0,0,0.6990627661,0,0,0,0,2,1,0,0,0,0.064516129,0,0,0,1,0,5,1,2,0,0,0.2105263158,9,33.3048157135,15.0451161608,17.3258080138,4,NA,NA,NA,3,0.3059753847,0,0,2,2.500650241,4.1677504017,4.1677504017,-0.3185213596,-15.5665850039,0.437871034,4.581649129,-0.5322327416,-19.713569372,-0.3185476665,-15.131920243,-0.8656716418,-58,0,0,0.7774835614,0.1338357423,-1,-0.0214610048,0,0,-1,-0.0214610048,-0.9491525424,-56,-0.3333333333,-1,NA,NA,NA,NA,NA,NA,0.0489067826,0.1165964027,-0.0493386816,-0.2163034366,-0.1226999983,-0.5829054669,106868,433049
4,1964,0,0,0,37.4674193849,0,1.941896959,0,33.7780115123,0,0,1,10,0,0,3,5,0,0,0,0,1,10,0,0,7,0,8,0,5,0,0,1,30,73.1873278562,37.4674193849,33.7780115123,4,2.8991790524,2,1.5384718571,18,0.0197723988,0.0014726216,0,3,2.3138033764,4.3138033764,4.8510427011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106848,433053
4,1984,0,0,0,42.4273855013,0,0.5607939236,0,25.9651258372,0,0,0.9004228804,0,0,0,0,2,0,0,0,0,0.2,0,0,0,4,0,3,0,3,0,0,0.5,10,68.9533052622,42.4273855013,25.9651258372,3,2.5225099188,2,1.6234389963,2,0.2297289628,0,0,1,3,5,5,-0.0578518538,-4.234022594,0.1323807777,4.9599661164,-0.2313009359,-7.8128856751,-0.0400435442,-2.8529195586,-0.6666666667,-20,-0.25,-1,10.6186693148,0.209956564,-1,-0.0014726216,0,0,-1,-0.0014726216,-0.8888888889,-16,-0.6666666667,-2,-0.1299226874,-0.3766691336,0,0,0.0552282701,0.0849671393,0.2965665236,0.6861966236,0.1590699816,0.6861966236,0.0307062436,0.1489572989,106848,433053
4,1988,0,0,0,42.0467619164,0,0,0,23.1162314442,0,0,0.875800653,0,0,0,0,2,0,0,0,0,0.2,0,0,0,4,0,2,0,2,0,0,0.4210526316,8,65.1629933606,42.0467619164,23.1162314442,3,2.4189791016,2,1.6452552246,2,0.2601631416,0,0,1,3,5,5,-0.1096410366,-8.0243344956,0.1222219893,4.5793425315,-0.3156426205,-10.6617800681,-0.0853730192,-6.0824375366,-0.7333333333,-22,-0.25,-1,12.1578947368,0.2403907429,-1,-0.0014726216,0,0,-1,-0.0014726216,-0.8888888889,-16,-0.6666666667,-2,-0.1656330782,-0.4801999508,0,0,0.0694087234,0.1067833675,0.2965665236,0.6861966236,0.1590699816,0.6861966236,0.0307062436,0.1489572989,106848,433053
4,1996,0,0,0,32.9315486417,0,0,0,24.6332672667,0,0,0.88051812,0,0,0,0,1,0,0,0,0,0.1052631579,0,0,0,3,0,1,0,2,0,0,0.3333333333,6,57.5648159084,32.9315486417,24.6332672667,3,2.7116891197,2,1.5720777201,1,0.192442185,0,0,1,3,5,5,-0.2134592477,-15.6225119478,-0.1210617336,-4.5358707432,-0.2707306865,-9.1447442456,-0.1920209453,-13.6806149888,-0.8,-24,-0.25,-1,8.7328699106,0.1726697862,-1,-0.0014726216,0,0,-1,-0.0014726216,-0.9444444444,-17,-0.6666666667,-2,-0.0646700081,-0.1874899327,0,0,0.0218436645,0.033605863,0.2965665236,0.6861966236,0.1590699816,0.6861966236,0.0307062436,0.1489572989,106848,433053
4,2014,0,0,0,4.718147812,0,0,0,29.7691371444,0,0,0.6405834032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,0,0,0.1818181818,3,34.4872849564,4.718147812,29.7691371444,2,4.4527666857,2,1.1368083286,NA,NA,NA,NA,NA,NA,NA,NA,-0.5287806514,-38.7000428998,-0.8740733178,-32.7492715728,-0.1186829594,-4.0088743679,-0.5159368886,-36.7581459408,-0.9,-27,-0.5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5358715709,1.5535876333,0,0,-0.2610795424,-0.4016635285,NA,NA,NA,NA,NA,NA,106848,433053
5,1964,0,0,0,14.1725098585,0,0,0,22.5036208767,0,0,1,5,0,0,0,5,0,0,0,0,1,5,0,0,2,0,5,0,2,0,0,1,14,36.6761307353,14.1725098585,22.5036208767,4,3.4543069757,2,1.3864232561,10,0.0184764918,0,0,2,2.4325185972,4.4325185972,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106828,433045
5,1984,0,0,0,16.8080115706,0,0,0,24.365014524,0,0,0.9422357859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,2,0,0,0.4444444444,4,41.1730260946,16.8080115706,24.365014524,2,3.3670851366,2,1.4082287159,NA,NA,NA,NA,NA,NA,NA,NA,0.1226109535,4.4968953593,0.1859587143,2.6355017121,0.0827152953,1.8613936473,0.1226109535,4.4968953593,-0.7142857143,-10,-0.5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0252501702,-0.0872218392,0,0,0.015727852,0.0218054598,NA,NA,NA,NA,NA,NA,106828,433045
5,1988,0,0,0,16.725721478,0,0,0,14.0862927751,0,0,0.8374449361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,1,0,0,0.3529411765,3,30.8120142531,16.725721478,14.0862927751,2,2.8286753549,2,1.5428311613,NA,NA,NA,NA,NA,NA,NA,NA,-0.1598891804,-5.8641164821,0.1801523968,2.5532116195,-0.3740432772,-8.4173281016,-0.1598891804,-5.8641164821,-0.7857142857,-11,-0.5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1811163933,-0.6256316208,0,0,0.1128139654,0.1564079052,NA,NA,NA,NA,NA,NA,106828,433045
5,1996,0,0,0,7.3301406939,0,0,0,0,0,0,0.33314073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.1333333333,1,7.3301406939,7.3301406939,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.8001386584,-29.3459900413,-0.482791632,-6.8423691646,-1,-22.5036208767,-0.8001386584,-29.3459900413,-0.9285714286,-13,-0.75,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7105063311,-2.4543069757,0,0,0.4425609144,0.6135767439,NA,NA,NA,NA,NA,NA,106828,433045
5,2014,0,0,0,8.6071002776,0,0,0,0,0,0,0.380145148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0.1333333333,1,8.6071002776,8.6071002776,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.7653214746,-28.0690304577,-0.3926904717,-5.5654095809,-1,-22.5036208767,-0.7653214746,-28.0690304577,-0.9285714286,-13,-0.75,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7105063311,-2.4543069757,0,0,0.4425609144,0.6135767439,NA,NA,NA,NA,NA,NA,106828,433045
6,1964,0,0,0,37.165041092,0,0,0,0,0,0,1,2,0,0,2,21,0,0,0,0,1,2,0,0,7,0,21,0,0,0,0,1,30,37.165041092,37.165041092,0,3,1,2,2,25,0.1038296372,0.0035539267,0,3,2.8937216339,4.8937216339,4.9315431165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106804,433046
6,1984,0,0,0,41.8000879882,0,0,0,0,0,0,0.941302611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,0,0,0,0,0.2857142857,5,41.8000879882,41.8000879882,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.1247152367,4.6350468962,0.1247152367,4.6350468962,0,0,0.1247152367,4.6350468962,-0.8333333333,-25,-0.6666666667,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,106804,433046
6,1988,0,0,0,41.9374933969,0,0,0,0,0,0,0.9396675172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,0,0,0,0,0.2857142857,5,41.9374933969,41.9374933969,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.1284124049,4.7724523049,0.1284124049,4.7724523049,0,0,0.1284124049,4.7724523049,-0.8333333333,-25,-0.6666666667,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,106804,433046
