Date,Year,Month,MAXT,MINT,PRECIP,Ta,Fm,RAINm,SNOWm,PACKm-1,MELTm,PACKm,Wm,Days,Daylength,Ea,SLOPE,ASPECT,LAT,Af,SlopRad,AfRad,LatRad,HL,PETm,SOILmax,SOILm-1,SOILm,deltSOIL,deltSOIL+Wm,AET,PETm,Wm,CWD
1957_1,1957,1,9.1,2.5,73,5.8,0.966666663,70.56666638,2.433333616,0,2.352222486,0.08111113,72.91888887,31,8.575994,0.875450435,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,12.2171254,100,0,60.70176347,0,72.91888887,12.2171254,12.2171254,72.91888887,0
1957_2,1957,2,9.6,2.7,100.5,6.15,1,100.5,0,0.08111113,0.08111113,0,100.5811111,28,10.021738,0.894230217,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,13.949048,100,60.70176347,100,144.357575,244.9386861,13.949048,13.949048,100.5811111,0
1957_3,1957,3,12.9,5.5,61.3,9.2,1,61.3,0,0,0,0,61.3,31,11.819653,1.073516184,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,32.35694728,100,100,100,133.5666646,194.8666646,32.35694728,32.35694728,61.3,0
1957_4,1957,4,14.2,4.4,5.5,9.3,1,5.5,0,0,0,0,5.5,30,13.758759,1.079894989,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,37.05236936,100,100,68.44763064,72.94067885,78.44067885,37.05236936,37.05236936,5.5,0
1957_5,1957,5,16.1,5.5,43.7,10.8,1,43.7,0,0,0,0,43.7,31,15.514859,1.179663236,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,54.48077073,100,68.44763064,57.6668599,61.45229786,105.1522979,54.48077073,54.48077073,43.7,0
1957_6,1957,6,22.2,8.8,26.4,15.5,1,26.4,0,0,0,0,26.4,30,16.439262,1.546757065,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,103.414953,100,57.6668599,0,26.69651751,53.09651751,53.09651751,103.414953,26.4,50.31843551
1957_7,1957,7,21.6,12.9,77.2,17.25,1,77.2,0,0,0,0,77.2,31,15.868332,1.707105206,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,125.9344727,100,0,0,0,77.2,77.2,125.9344727,77.2,48.73447266
1957_8,1957,8,20.6,11.7,73.4,16.15,1,73.4,0,0,0,0,73.4,31,14.198074,1.604700252,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,99.54218561,100,0,0,0,73.4,73.4,99.54218561,73.4,26.14218561
1957_9,1957,9,17.8,9.6,76.6,13.7,1,76.6,0,0,0,0,76.6,30,12.243238,1.395772936,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,61.81503786,100,0,14.78496214,0,76.6,61.81503786,61.81503786,76.6,0
1957_10,1957,10,15.9,6.6,59.1,11.25,1,59.1,0,0,0,0,59.1,31,10.329918,1.211133663,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,38.73180396,100,14.78496214,35.15315818,18.12500639,77.22500639,38.73180396,38.73180396,59.1,0
1957_11,1957,11,9.7,3.1,65.2,6.4,1,65.2,0,0,0,0,65.2,30,8.730765,0.907860958,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,13.74369632,100,35.15315818,86.60946186,58.80797645,124.0079765,13.74369632,13.74369632,65.2,0
1957_12,1957,12,8.6,0.5,74.1,4.55,0.75833333,56.19249978,17.90750022,0,13.57985428,4.327645942,69.77235406,31,7.996774,0.811187562,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,8.318057995,100,86.60946186,100,160.1245628,229.8969168,8.318057995,8.318057995,69.77235406,0
1958_1,1958,1,7.8,0.5,113.4,4.15,0.691666664,78.43499969,34.96500031,4.327645942,27.17741355,12.1152327,105.6124132,31,8.575994,0.791521945,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,7.950521923,100,100,100,265.5462696,371.1586829,7.950521923,7.950521923,105.6124132,0
1958_2,1958,2,9.8,2.7,68.2,6.25,1,68.2,0,12.1152327,12.1152327,0,80.3152327,28,10.021738,0.899660704,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,14.25684728,100,100,100,193.5922301,273.9074628,14.25684728,14.25684728,80.3152327,0
1958_3,1958,3,8.4,0.5,46.4,4.45,0.741666664,34.4133332,11.9866668,0,8.890111178,3.096555627,43.30344437,31,11.819653,0.806231164,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,11.95515179,100,100,100,136.8182102,180.1216546,11.95515179,11.95515179,43.30344437,0
1958_4,1958,4,12.2,2.2,20.1,7.2,1,20.1,0,3.096555627,3.096555627,0,23.19655563,30,13.758759,0.95271852,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,25.49693086,100,100,97.69962476,97.72588167,120.9224373,25.49693086,25.49693086,23.19655563,0
1958_5,1958,5,15.8,7,56.3,11.4,1,56.3,0,0,0,0,56.3,31,15.514859,1.221786673,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,59.43543479,100,97.69962476,94.56418997,94.68384274,150.9838427,59.43543479,59.43543479,56.3,0
1958_6,1958,6,18.1,9.9,100.2,14,1,100.2,0,0,0,0,100.2,30,16.439262,1.419999392,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,86.20000467,100,94.56418997,100,108.774705,208.974705,86.20000467,86.20000467,100.2,0
1958_7,1958,7,20.5,11.7,41.3,16.1,1,41.3,0,0,0,0,41.3,31,15.868332,1.600176425,2,300.84575,50.85,104.15425,0.034906585,1.81783459,0.887499924,0.847631105,110.6143161,100,100,30.68568387,50.00020096,91.30020096,91.30020096,110.6143161,41.3,19.31411517
