Block,Year,Heavy shade,Wet ground,"Open, gap, glade",Vascular ground cover,Agrostis spp.,Anemone nemorosa,Anthoxanthum odoratum,Athyrium filix-femina,Blechnum spicant,Brachypodium sylvaticum,Calluna vulgaris,Cardamine flexuosa,Carex demissa,Carex pilulifera,Carex remota,Carex sylvatica,Cerastium vulgatum (fontanum),Circaea lutetiana,Cirsium vulgare,Dactylis glomerata,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dryopteris austriaca (dilatata),Dryopteris filix-mas,Dryopteris spinulosa,Endymion nonscriptus,Epilibium montanum?,Epilobium parviflorum,Euphorbia amygdaliodes,Festuca ovina,Galium palustre,Galium saxatile,Geum urbanum,Glyceria sp.,Hedera helix,Holcus mollis,Hypericum androsaemum,Juncus buffonius,Juncus effusus,Lonicera periclymenum,Lotus corniculatus,Luzula campestris,Luzula multiflora,Luzula pilosa,Lysimachia nemorum,Molinia caerulea,Oxalis acetosella,Poa annua,Poa trivialis?,Polypodium vulgare,Potentilla erecta,Pteridium aquilinum,Ranunculus flammula,Ranunculus repens,Rubus fruticosus,Ruscus aculeatus,Scutellaria minor,Senecio sylvatica,Stellaria alsine,Veronica chamaedrys,Veronica officinalis,Viola riviniana,Lotus pedunculatus,Melampyrum pratense,Montia fontanum,Polypodium interjectum,Ranunculus sarduous,Rosa arvensis,Taraxacum officinalis agg.,Vaccinium myrtillus ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1996,S,,O,20,15,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,5,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2014,,,,25,5,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,0.5,,,,5,0.5,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1996,S,,O,5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2014,,,,2.5,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1996,S,,O,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2014,,,,2.5,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1996,S,,o,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2014,,,,2.5,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1996,S,w,O,45,25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2014,,,,60,20,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,1,,,,,,,30,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1996,S,,,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2014,,,,2.5,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1996,S,,o,40,30,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2014,,,,20,10,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1996,S,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2014,,,,2.5,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
