"Block","Year","Perc_C","PCC","BAPERCM","BAM","freq","PSpR","Sorensen"
1,1964,3,0,0,25.0011870363493,6,0,1
1,1996,2,-1,-0.377315636534988,15.5678482355989,8,0.287682072451781,0.675324675324675
1,2014,1,-2,-0.298054588931782,17.5494685114236,7,0.154150679827258,0.67109634551495
10,1964,4,0,0,32.4958490105694,11,0,1
10,1996,86,82,-0.4042,19.3610268404973,12,0.0870113769896297,0.0925925925925926
10,2014,85,81,-0.357323750467674,20.8843103674815,4,-1.01160091167848,0.0418848167539267
11,1964,0,0,0,45.5923633852219,2,0,1
11,1996,20,20,-0.527000861326443,21.5651486113018,9,1.50407739677627,0
11,2014,5.5,5.5,-0.401879883953669,27.2697096787954,10,1.6094379124341,0.0666666666666667
12,1964,0,0,0,36.3305555433575,2,0,1
12,1996,3,3,0.140582608225693,41.4379997999311,4,0.693147180559945,0
12,2014,2,2,0.388964856025472,50.4618648496049,4,0.693147180559945,0
13,1996,2,2,-0.195396333651674,33.9119611690832,5,0,0
13,2014,2,2,0.00381042641737211,42.3080102981407,6,0.182321556793955,0
14,1964,0,0,0,37.4895087082208,3,0,1
14,1996,1,1,0.0702274363976797,40.1223007966077,3,0,0.5
14,2014,1,1,0.284051226872764,48.1384496516481,6,0.693147180559945,0.444444444444444
15,1996,35,35,-0.302601100880871,41.2338944522182,6,0,0
15,2014,50.5,50.5,-0.260893915001865,43.6998428536369,10,0.510825623765991,0
16,1964,0,0,0,41.0758330718344,3,0,1
16,1996,2,2,-0.546733589072527,18.6182954323264,4,0.287682072451781,0
16,2014,2,2,-0.427952247764806,23.4973379799309,6,0.693147180559945,0
17,1996,36,36,-0.49327601252974,27.0778190502803,6,0,0
17,2014,20.5,20.5,-0.468468933857911,28.4034353701141,5,-0.182321556793955,0
18,1964,0,0,0,41.101849385997,2,0,1
18,1996,1,1,0.0290760999378971,42.2969308663766,3,0.405465108108164,0
18,2014,3,3,0.100729850465203,45.2420325284917,6,1.09861228866811,0
19,1964,2,0,0,32.8806941106342,9,0,1
19,1996,12,10,0.0646649946255822,35.0069240185837,6,-0.405465108108165,0.181818181818182
19,2014,16.5,14.5,0.273052407234928,41.8588467890981,9,0,0.0754716981132075
2,1964,3,0,0,35.3036474447153,5,0,1
2,1996,3,0,0.0644816462736374,37.5800847514146,6,0.182321556793955,0.152173913043478
2,2014,2,-1,0.303419812363054,46.0154735281222,7,0.336472236621213,0.130434782608696
20,1964,0,0,0,30.9564686103104,8,0,1
20,1996,11,11,0.277651274895344,39.5515715862208,7,-0.133531392624523,0.0909090909090909
20,2014,0.5,0.5,0.479568081878143,45.8022028834779,3,-0.980829253011726,0
21,1964,0,0,0,72.8957487880299,4,0,1
21,1996,1,1,0.047897536733512,76.3872755933214,6,0.405465108108164,0.0425531914893617
