"Block","Year","BAM","BAPERCM","Northing","Easting"
1,1964,25.0011870363493,0,106909,433056
1,1984,29.192758859631,0.167654912432263,106909,433056
1,1988,17.1261370966417,-0.31498704154559,106909,433056
1,1996,15.5678482355989,-0.377315636534988,106909,433056
1,2014,17.5494685114236,-0.298054588931782,106909,433056
2,1964,35.3036474447153,0,106885,433058
2,1984,43.5380759490395,0.233245828698554,106885,433058
2,1988,44.6795147348591,0.26557786429366,106885,433058
2,1996,37.5800847514146,0.0644816462736374,106885,433058
2,2014,46.0154735281222,0.303419812363054,106885,433058
3,1964,48.8714007174062,0,106868,433049
3,1984,52.9953497588195,0.0843836882282042,106868,433049
3,1988,52.3776341033074,0.0717440739252711,106868,433049
3,1996,43.5856318078332,-0.108156689433507,106868,433049
3,2014,33.3048157134579,-0.318521359638544,106868,433049
4,1964,73.1873278561912,0,106848,433053
4,1984,68.9533052621778,-0.0578518538391371,106848,433053
4,1988,65.1629933605758,-0.109641036647529,106848,433053
4,1996,57.5648159084199,-0.213459247733004,106848,433053
4,2014,34.4872846159672,-0.528780656075698,106848,433053
5,1964,27.0550032336336,0,106828,433045
5,1984,30.9942658969239,0.145602003048117,106828,433045
5,1988,30.8120142531075,0.138865665142608,106828,433045
5,1996,7.33014069394247,-0.729065244212207,106828,433045
5,2014,8.6070993233903,-0.681866631134225,106828,433045
6,1964,37.1650410919673,0,106804,433046
6,1984,41.8000879882114,0.12471523668639,106804,433046
6,1988,41.9374933968978,0.128412404902789,106804,433046
6,1996,43.6863394873349,0.175468617920541,106804,433046
6,2014,47.6725256167744,0.282724953775935,106804,433046
7,1964,45.9850624669206,0,106786,433045
7,1984,7.11578590019722,-0.845258753202391,106786,433045
7,1988,6.67370490897488,-0.854872331340734,106786,433045
8,1964,61.5909239736279,0,106773,433044
8,1984,29.1397248486476,-0.526882810507524,106773,433044
8,1988,31.2081690867252,-0.49329922213721,106773,433044
8,1996,35.5972096432392,-0.422038064269319,106773,433044
8,2014,18.7594939646603,-0.695417883766564,106773,433044
9,1964,36.3933873964293,0,106752,433047
9,1984,35.3473548525084,-0.0287423792824385,106752,433047
9,1988,36.2147485841645,-0.00490855138926359,106752,433047
9,1996,28.1711718335459,-0.225926085783653,106752,433047
9,2014,35.9235595731025,-0.0129097030240411,106752,433047
10,1964,32.4958490105694,0,106730,433046
10,1984,18.2466842913149,-0.438491842900302,106730,433046
10,1988,18.7805194229761,-0.422064048338369,106730,433046
10,1996,19.3610268404973,-0.4042,106730,433046
10,2014,20.8843103674815,-0.357323750467674,106730,433046
11,1964,45.5923633852219,0,106707,433044
11,1984,27.401854697544,-0.398981481481481,106707,433044
11,1988,27.6027791826951,-0.394574504737295,106707,433044
11,1996,21.5651486113018,-0.527000861326443,106707,433044
11,2014,27.2697096787954,-0.401879883953669,106707,433044
12,1964,36.3305555433575,0,106687,433042
12,1984,39.4338404015275,0.0854180403177864,106687,433042
12,1988,37.3846776883614,0.0290147543641572,106687,433042
12,1996,41.4379997999311,0.140582608225693,106687,433042
12,2014,50.4618648496049,0.388964856025472,106687,433042
13,1964,42.1474106910198,0,106666,433035
13,1984,40.1906500717773,-0.0464265915073024,106666,433035
13,1988,38.5094267632088,-0.0863157159162376,106666,433035
13,1996,33.9119611690832,-0.195396333651674,106666,433035
13,2014,42.3080102981407,0.00381042641737211,106666,433035
14,1964,37.4895087082208,0,106647,433038
14,1984,44.3256143224322,0.182347164573868,106647,433038
14,1988,43.0205770991769,0.147536433032616,106647,433038
14,1996,40.1223007966077,0.0702274363976797,106647,433038
14,2014,48.1384496516481,0.284051226872764,106647,433038
15,1964,59.125264614412,0,106624,433036
15,1984,58.6144023790302,-0.00864033740421236,106624,433036
15,1988,40.7256240307755,-0.31119760230471,106624,433036
15,1996,41.2338944522182,-0.302601100880871,106624,433036
15,2014,43.6998428536369,-0.260893915001865,106624,433036
16,1964,41.0758330718344,0,106602,433034
16,1984,15.2693576635997,-0.628264200097994,106602,433034
16,1988,16.7935013394887,-0.59115859415146,106602,433034
16,1996,18.6182954323264,-0.546733589072527,106602,433034
16,2014,23.4973379799309,-0.427952247764806,106602,433034
17,1964,53.437018416006,0,106585,433028
17,1984,49.1837535669894,-0.0795939776412123,106585,433028
17,1988,46.5371581058808,-0.129121356592352,106585,433028
17,1996,27.0778190502803,-0.49327601252974,106585,433028
17,2014,28.4034353701141,-0.468468933857911,106585,433028
18,1964,41.101849385997,0,106571,433031
18,1984,37.2996583371736,-0.0925065685759328,106571,433031
18,1988,37.4164274091167,-0.089665599770697,106571,433031
18,1996,42.2969308663766,0.0290760999378971,106571,433031
18,2014,45.2420325284917,0.100729850465203,106571,433031
19,1964,32.8806941106342,0,106550,433024
19,1984,35.6419184336906,0.083977069150842,106550,433024
19,1988,35.5731764594392,0.0818864206377643,106550,433024
19,1996,35.0069240185837,0.0646649946255822,106550,433024
19,2014,41.8588467890981,0.273052407234928,106550,433024
20,1964,30.9564686103104,0,106531,433028
20,1984,33.8148074162709,0.0923341367499682,106531,433028
20,1988,35.5739422226485,0.149160218191044,106531,433028
20,1996,39.5515715862208,0.277651274895344,106531,433028
20,2014,45.8022028834779,0.479568081878143,106531,433028
21,1964,72.8957487880299,0,106506,433029
21,1984,75.4923929259464,0.0356213384331526,106506,433029
21,1988,75.1990270769634,0.0315968808500896,106506,433029
21,1996,76.3872755933214,0.047897536733512,106506,433029
21,2014,83.4738182034901,0.145112295179513,106506,433029
22,1964,40.3675021032203,0,106486,433024
22,1984,29.3951952362467,-0.271810399338489,106486,433024
