Block,Year,A_BA,B_BA,Cr_BA,F_BA,Fr_BA,I_BA,PM_BA,Q_BA,Sc_BA,T_BA,Sor_BA,AM,BM,CrM,FM,FrM,IM,PMM,Q.y,Sc.y,T.y,Sorensen.y,SDM,BAM,BAFM,BAQM,SPRM,LightM,MoistM,NitM,Northing,Easting
6,2014,0,0,0,47.6725256168,0,0,0,0,0,0,0.8761458522,0,0,0,5,0,1,0,0,0,0,0.3333333333,6,47.6725256168,47.6725256168,0,2,1,2,2,106804,433046
7,1964,0,0,0,38.1919491906,0,0,0,7.7931132763,0,0,1,0,0,0,3,0,5,0,1,0,0,1,9,45.9850624669,38.1919491906,7.7931132763,3,1.677882152,2,1.830529462,106786,433045
7,1984,0,0,0,7.1157859002,0,0,0,0,0,0,0.2680102529,0,0,0,1,0,0,0,0,0,0,0.2,1,7.1157859002,7.1157859002,0,1,1,2,2,106786,433045
7,1988,0,0,0,6.673704909,0,0,0,0,0,0,0.2534698491,0,0,0,1,0,0,0,0,0,0,0.2,1,6.673704909,6.673704909,0,1,1,2,2,106786,433045
8,1964,0,0,0,36.5838464511,0,1.4981469967,0,23.5089305259,0,0,1,0,0,0,2,0,7,0,3,0,0,1,12,61.5909239736,36.5838464511,23.5089305259,3,2.5754271869,2,1.6183052793,106773,433044
8,1984,0,0,0,0,0,0.678210949,0,28.4615138996,0,0,0.5331636396,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,29.1397248486,0,28.4615138996,2,4.9534511082,2,1.0232744459,106773,433044
8,1988,0,0,0,0,0,0.8512341644,0,30.3569349223,0,0,0.5250086803,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,31.2081690867,0,30.3569349223,2,4.9454479907,2,1.0272760046,106773,433044
8,1996,0,0,0,0,0,1.1498425462,0,34.4473670971,0,0,0.5074441118,0,0,0,0,0,2,0,3,0,0,0.5882352941,5,35.5972096432,0,34.4473670971,2,4.9353970405,2,1.0323014797,106773,433044
8,2014,0,0,0,0,0,1.8353054682,0,16.9241884965,0,0,0.4585498362,0,0,0,0,0,2,0,2,0,0,0.5,4,18.7594939647,0,16.9241884965,2,4.8043331583,2,1.0978334209,106773,433044
9,1964,0,0,0,26.7899313535,0,0.8659014751,0,8.7375545678,0,0,1,0,0,0,13,0,6,0,2,0,0,1,21,36.3933873964,26.7899313535,8.7375545678,3,2.0079309415,2,1.7599136768,106752,433047
9,1984,0,0,0,30.9144694435,0,0.2419222693,0,4.1909631397,0,0,0.8704347288,0,0,0,11,0,1,0,1,0,0,0.7647058824,13,35.3473548525,30.9144694435,4.1909631397,3,1.4879487353,2,1.8814348865,106752,433047
9,1988,0,0,0,31.2628131639,0,0.2375829444,0,4.7143524758,0,0,0.8743336086,0,0,0,11,0,1,0,1,0,0,0.7647058824,13,36.2147485842,31.2628131639,4.7143524758,3,1.5338315617,2,1.8698223055,106752,433047
9,1996,0,0,0,22.7072942555,0,0.3166921744,0,5.1471854036,0,0,0.8726512554,0,0,0,10,0,1,0,1,0,0,0.7272727273,12,28.1711718335,22.7072942555,5.1471854036,3,1.7533277667,2,1.8172889139,106752,433047
9,2014,0,0,0,28.6370484177,0,0.477663502,0,6.8088476533,0,0,0.9424192789,0,0,0,10,0,1,0,1,0,0,0.7272727273,12,35.9235595731,28.6370484177,6.8088476533,3,1.784741767,2,1.8104628903,106752,433047
10,1964,0,0,0,32.1640182865,0,0.331830724,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0,1,8,32.4958490106,32.1640182865,0,2,1.0204229607,2,2,106730,433046
10,1984,0,0,0,18.2466842913,0,0,0,0,0,0,0.7191869662,0,0,0,1,0,1,0,0,0,0,0.4,2,18.2466842913,18.2466842913,0,2,1,2,2,106730,433046
10,1988,0,0,0,18.780519423,0,0,0,0,0,0,0.7325214323,0,0,0,1,0,0,0,0,0,0,0.2222222222,1,18.780519423,18.780519423,0,1,1,2,2,106730,433046
10,1996,0,0,0,19.3610268405,0,0,0,0,0,0,0.746710114,0,0,0,1,0,0,0,0,0,0,0.2222222222,1,19.3610268405,19.3610268405,0,1,1,2,2,106730,433046
10,2014,0,0,0,20.8843103675,0,0,0,0,0,0,0.7824746352,0,0,0,1,0,0,0,0,0,0,0.2222222222,1,20.8843103675,20.8843103675,0,1,1,2,2,106730,433046
11,1964,0,0,0,16.7682507885,0,1.1839877313,0,27.6401248654,0,0,1,0,0,0,13,0,15,0,3,0,0,1,31,45.5923633852,16.7682507885,27.6401248654,3,3.4769164513,2,1.3937553833,106707,433044
11,1984,0,0,0,13.3320552839,0,0.4125892902,0,13.6572101235,0,0,0.7507952114,0,0,0,10,0,5,0,1,0,0,0.6808510638,16,27.4018546975,13.3320552839,13.6572101235,3,3.0237323235,2,1.5015954112,106707,433044
11,1988,0,0,0,14.0436456548,0,0,0,13.5591335278,0,0,0.7542243437,0,0,0,10,0,6,0,1,0,0,0.7083333333,17,27.6027791827,14.0436456548,13.5591335278,3,2.9648939606,2,1.5087765099,106707,433044
11,1996,0,0,0,6.6997212231,0,0.2419222693,0,14.6235051189,0,0,0.6422259542,0,0,0,7,0,4,0,1,0,0,0.5581395349,12,21.5651486113,6.6997212231,14.6235051189,3,3.7348693986,2,1.3218917531,106707,433044
11,2014,0,0,0,10.3290578652,0,0.4394663134,0,16.5011855002,0,0,0.7485296131,0,0,0,7,0,3,0,1,0,0,0.5238095238,11,27.2697096788,10.3290578652,16.5011855002,3,3.4526727793,2,1.3948895791,106707,433044
12,1964,0,0,0,29.4288691825,0,0.9621127502,0,5.9395736107,0,0,1,0,0,0,12,0,17,0,1,0,0,1,30,36.3305555434,29.4288691825,5.9395736107,3,1.7069123926,2,1.8365129979,106687,433042
12,1984,0,0,0,31.5930730917,0,0.88950269,0,6.9512646199,0,0,0.9571235943,0,0,0,9,0,10,0,1,0,0,0.8,20,39.4338404015,31.5930730917,6.9512646199,3,1.7502202058,2,1.8237233668,106687,433042
12,1988,0,0,0,30.7097161423,0,0.2507187287,0,6.4242428173,0,0,0.9663989371,0,0,0,8,0,9,0,1,0,0,0.75,18,37.3846776884,30.7097161423,6.4242428173,3,1.7007793125,2,1.8281584003,106687,433042
12,1996,0,0,0,34.107859106,0,0,0,7.3301406939,0,0,0.9095820962,0,0,0,8,0,4,0,1,0,0,0.6046511628,13,41.4379997999,34.107859106,7.3301406939,3,1.7075766909,2,1.8231058273,106687,433042
12,2014,0,0,0,42.1972475288,0,0.6609408504,0,7.6036764704,0,0,0.830242629,0,0,0,8,0,3,0,1,0,0,0.5714285714,12,50.4618648496,42.1972475288,7.6036764704,3,1.6289222104,2,1.8493183616,106687,433042
13,1964,0,0,0,30.5686782671,0,0.2375829444,0,11.3411494795,0,0,1,0,0,0,19,0,4,0,1,0,0,1,24,42.147410691,30.5686782671,11.3411494795,3,2.0876056929,2,1.7309170529,106666,433035
13,1984,0,0,0,28.0325883276,0,0.5164974672,0,11.641564277,0,0,0.9621630722,0,0,0,9,0,2,0,1,0,0,0.6666666667,12,40.1906500718,28.0325883276,11.641564277,3,2.1843364553,2,1.7103414785,106666,433035
13,1988,0,0,0,27.2576359598,0,0,0,11.2517908034,0,0,0.9548955297,0,0,0,7,0,0,0,1,0,0,0.5,8,38.5094267632,27.2576359598,11.2517908034,2,2.1687310614,2,1.7078172347,106666,433035
13,1996,0,0,0,22.0577699743,0,0,0,11.8541911947,0,0,0.8782328499,0,0,0,6,0,0,0,1,0,0,0.4516129032,7,33.9119611691,22.0577699743,11.8541911947,2,2.3982312772,2,1.6504421807,106666,433035
13,2014,0,0,0,30.1214655891,0,0,0,12.186544709,0,0,0.981881674,0,0,0,6,0,0,0,1,0,0,0.4516129032,7,42.3080102981,30.1214655891,12.186544709,2,2.152173749,2,1.7119565628,106666,433035
14,1964,0,0,0,20.4031716635,0,0.2375829444,0,16.8487541003,0,0,1,0,0,0,23,0,2,0,2,0,0,1,27,37.4895087082,20.4031716635,16.8487541003,3,2.8103780132,2,1.5505741558,106647,433038
14,1984,0,0,0,24.4628555002,0,0.6104507225,0,19.2523080997,0,0,0.9164444743,0,0,0,14,0,2,0,2,0,0,0.8,18,44.3256143224,24.4628555002,19.2523080997,3,2.7648967767,2,1.5656617873,106647,433038
14,1988,0,0,0,22.9834206148,0,0.2827433388,0,19.7544131456,0,0,0.9312996833,0,0,0,12,0,1,0,2,0,0,0.7142857143,15,43.0205770992,22.9834206148,19.7544131456,3,2.8498854415,2,1.5408147803,106647,433038
