"","lag","semi","No_pairs","Year"
"1",1,488.671913036065,25,1984
"2",2,213.187282740958,20,1984
"3",3,218.532823926346,31,1984
"4",4,412.198337051971,16,1984
"5",5,324.588864070307,32,1984
"6",6,260.742383995962,14,1984
"7",7,303.333573578066,25,1984
"8",8,264.878450058412,23,1984
"9",9,291.389057790537,19,1984
"10",10,368.907794090016,28,1984
"11",11,408.719938708272,15,1984
"12",12,196.659653274056,27,1984
"13",13,569.651712884967,14,1984
"14",14,287.436712687621,27,1984
"15",15,315.248558586653,13,1984
"16",16,196.747951431389,27,1984
"17",17,241.564961980471,15,1984
"18",18,208.168184510127,24,1984
"19",19,326.071064844287,17,1984
"20",20,370.859613304398,17,1984
"21",21,286.776341207096,25,1984
"22",22,527.294956080205,13,1984
"23",23,268.465383337049,26,1984
"24",24,305.222981136191,11,1984
"25",25,268.097372957848,23,1984
"26",26,443.805284074991,14,1984
"27",27,344.845728855173,19,1984
"28",28,366.754981217619,18,1984
"29",29,212.777865145389,12,1984
"30",30,289.898890036375,24,1984
"31",31,307.19381060961,7,1984
"32",32,220.01544016295,25,1984
"33",33,552.328948687421,9,1984
"34",34,256.677042388957,19,1984
"35",35,463.130746535207,13,1984
"36",36,169.986691768783,15,1984
"37",37,347.539692263449,14,1984
"38",38,312.146431656795,12,1984
"39",39,240.739749691219,18,1984
"40",40,101.149698909444,6,1984
"41",41,319.952088223373,20,1984
"42",42,444.314980057329,6,1984
"43",43,251.375760501314,17,1984
"44",44,235.831208405276,9,1984
"45",45,468.726174783304,13,1984
"46",46,328.89323361342,13,1984
"47",47,416.48708544947,9,1984
"48",48,247.088692815736,17,1984
"49",49,253.192235496748,4,1984
"50",50,356.833468165018,18,1984
"51",51,357.288584066992,5,1984
"52",52,254.589612939507,15,1984
"53",53,473.210201663641,8,1984
"54",54,265.481778157598,10,1984
"55",55,366.938789636759,12,1984
"56",56,173.811668586827,6,1984
"57",57,382.218177802872,12,1984
"58",58,516.226179076715,6,1984
"59",59,475.642702933782,11,1984
"60",60,92.3960970539012,5,1984
"61",61,491.083965614965,11,1984
"62",62,186.621088725651,3,1984
"63",63,171.52339543212,10,1984
"64",64,162.158499530551,6,1984
"65",65,250.350059207128,6,1984
"66",66,233.985404806531,8,1984
"67",67,671.280756248361,3,1984
"68",68,243.925030400731,7,1984
"69",69,562.743502429034,3,1984
"70",70,284.572734635039,8,1984
"71",71,236.168700163619,3,1984
"72",72,217.251861020165,6,1984
"73",73,249.446161684092,4,1984
"74",74,199.375626799495,3,1984
"75",75,463.15511298573,5,1984
"76",76,211.776484501418,5,1984
"77",77,117.974257192738,5,1984
"78",78,146.531016448173,5,1984
"79",79,619.362034976956,3,1984
"80",80,544.13455548581,2,1984
"81",81,510.706276160865,2,1984
