"","lag","semi","No_pairs","Year"
"1",1,443.881522605191,25,1996
"2",2,380.448203163719,22,1996
"3",3,394.621334394001,32,1996
"4",4,316.545666577067,18,1996
"5",5,375.822998524062,32,1996
"6",6,398.956541583201,16,1996
"7",7,353.229791461139,26,1996
"8",8,572.694537717396,24,1996
"9",9,306.281274047844,20,1996
"10",10,411.184144852014,29,1996
"11",11,543.94286608674,16,1996
"12",12,299.644470083048,28,1996
"13",13,457.714353167651,16,1996
"14",14,482.707145280686,27,1996
"15",15,433.358303787529,15,1996
"16",16,301.533832236431,28,1996
"17",17,212.10016952708,17,1996
"18",18,356.091563863425,24,1996
"19",19,402.116271885719,19,1996
"20",20,391.205555261185,18,1996
"21",21,350.211895789812,25,1996
"22",22,517.337543759666,14,1996
"23",23,397.567187325737,28,1996
"24",24,593.360828933054,11,1996
"25",25,335.161059248157,25,1996
"26",26,674.607419058169,15,1996
"27",27,465.241737819389,20,1996
"28",28,388.197126141525,19,1996
"29",29,442.70796397039,13,1996
"30",30,505.704790462423,25,1996
"31",31,338.016595891104,8,1996
"32",32,494.304475386367,25,1996
"33",33,442.136263176471,10,1996
"34",34,499.641312864743,20,1996
"35",35,320.453883937772,14,1996
"36",36,453.946751094773,16,1996
"37",37,362.214573389097,15,1996
"38",38,508.882926604282,13,1996
"39",39,251.559814050766,19,1996
"40",40,359.181178802267,8,1996
"41",41,368.704775738642,21,1996
"42",42,415.891126034069,6,1996
"43",43,349.245937814625,19,1996
"44",44,394.845690324376,9,1996
"45",45,323.289890104014,14,1996
"46",46,694.142985898373,13,1996
"47",47,252.132126627949,9,1996
"48",48,352.770592093761,17,1996
"49",49,254.211058843613,4,1996
"50",50,436.173764601663,18,1996
"51",51,317.190097250904,5,1996
"52",52,373.336745540764,15,1996
"53",53,568.876312176013,8,1996
"54",54,346.640951170048,10,1996
"55",55,423.591533174401,12,1996
"56",56,137.446682367223,6,1996
"57",57,338.02210185107,12,1996
"58",58,539.386016251609,6,1996
"59",59,350.057460477041,11,1996
"60",60,136.178908510855,5,1996
"61",61,413.41874986717,11,1996
"62",62,134.792138484521,3,1996
"63",63,273.1067500759,10,1996
"64",64,400.44394633099,6,1996
"65",65,183.356677823631,6,1996
"66",66,366.390307029014,8,1996
"67",67,653.215206849945,3,1996
"68",68,399.918411499367,7,1996
"69",69,471.479739080128,3,1996
"70",70,392.779011574566,8,1996
"71",71,593.829152243275,3,1996
"72",72,332.050132200098,6,1996
"73",73,665.793327463577,4,1996
"74",74,339.768193064105,3,1996
"75",75,809.209367069235,5,1996
"76",76,523.497803780409,5,1996
"77",77,284.518663878825,5,1996
"78",78,263.628861487807,5,1996
"79",79,438.647717815026,3,1996
"80",80,311.2430531133,2,1996
"81",81,256.357977822779,2,1996
