"","lag","semi","No_pairs","Year"
"1",1,255.050930990846,8,1999
"2",2,150.400110560166,5,1999
"3",3,238.748221055112,11,1999
"4",4,243.174197438421,10,1999
"5",5,168.584208272533,3,1999
"6",6,228.214128460835,7,1999
"7",7,420.723818504523,4,1999
"8",8,240.721060435339,4,1999
"9",9,142.109581582878,5,1999
"10",10,489.126482830706,2,1999
"11",11,155.758071781785,3,1999
"12",12,182.272429920568,4,1999
"13",13,76.4369765689387,6,1999
"14",14,148.664802023286,7,1999
"15",15,308.831191160285,6,1999
"16",16,179.91406825765,5,1999
"17",17,215.960923660278,4,1999
"18",18,300.117396015731,3,1999
