"","lag","semi","No_pairs","Year"
"1",1,356.609818741736,25,1964
"2",2,282.923215045737,27,1964
"3",3,289.767777033634,36,1964
"4",4,504.450410014239,14,1964
"5",5,311.352612854441,41,1964
"6",6,201.662677714376,15,1964
"7",7,330.20497283614,24,1964
"8",8,215.903211597639,32,1964
"9",9,311.125830861234,18,1964
"10",10,361.231657179256,29,1964
"11",11,358.149343503555,22,1964
"12",12,251.688125160789,26,1964
"13",13,465.437607803468,18,1964
"14",14,223.934460427103,29,1964
"15",15,129.523972925552,15,1964
"16",16,226.87025526369,35,1964
"17",17,231.593204376604,17,1964
"18",18,164.116617039327,28,1964
"19",19,434.014111297637,25,1964
"20",20,252.531896273788,20,1964
"21",21,248.934290718899,33,1964
"22",22,333.296962607087,20,1964
"23",23,302.186123141116,26,1964
"24",24,149.168594225864,25,1964
"25",25,317.897200816815,27,1964
"26",26,371.578037236066,17,1964
"27",27,312.266583668319,31,1964
"28",28,399.761425256136,23,1964
"29",29,236.321511019264,17,1964
"30",30,360.396986848087,39,1964
"31",31,202.035200309112,12,1964
"32",32,177.691746848338,28,1964
"33",33,358.236559246911,24,1964
"34",34,352.541250600245,24,1964
"35",35,260.831568747661,20,1964
"36",36,344.320753141161,25,1964
"37",37,333.111482584459,17,1964
"38",38,252.696024097685,24,1964
"39",39,288.409197393237,24,1964
"40",40,148.773402601219,17,1964
"41",41,362.6779313719,25,1964
"42",42,270.035777205073,15,1964
"43",43,534.891140280602,26,1964
"44",44,186.529047504027,16,1964
"45",45,477.639499780501,21,1964
"46",46,254.232214389907,27,1964
"47",47,351.479893255453,15,1964
"48",48,338.271734572979,27,1964
"49",49,200.71081053286,18,1964
"50",50,397.79898437881,28,1964
"51",51,314.615961035469,23,1964
"52",52,318.382599204379,25,1964
"53",53,353.075425934968,19,1964
"54",54,283.83080265036,27,1964
"55",55,295.015027514721,22,1964
"56",56,296.251830222883,19,1964
"57",57,631.575767818922,27,1964
"58",58,210.950804457838,21,1964
"59",59,467.09547357236,23,1964
"60",60,109.361564544582,16,1964
"61",61,561.2136713462,24,1964
"62",62,194.391276797453,12,1964
"63",63,371.667441299984,22,1964
"64",64,247.751465389888,15,1964
"65",65,210.337567708714,16,1964
"66",66,291.726598325042,18,1964
"67",67,162.093194521655,12,1964
"68",68,341.385355332898,19,1964
"69",69,348.826002621524,11,1964
"70",70,246.270836986304,16,1964
"71",71,209.546319874864,14,1964
"72",72,192.098074678655,14,1964
"73",73,366.97235009253,19,1964
"74",74,99.3631428120413,10,1964
"75",75,342.552588001049,18,1964
"76",76,225.893052004491,7,1964
"77",77,221.426579617765,17,1964
"78",78,113.695519197028,10,1964
"79",79,234.69133327755,13,1964
"80",80,107.299301227396,10,1964
"81",81,232.239951055988,15,1964
"82",82,202.707781139869,12,1964
"83",83,479.042659856592,10,1964
"84",84,309.887394706116,13,1964
"85",85,443.481070673626,8,1964
"86",86,408.098487939609,10,1964
"87",87,93.3075071732708,6,1964
"88",88,361.566905968317,7,1964
"89",89,130.439889426062,5,1964
"90",90,305.147353400852,6,1964
"91",91,402.855185581587,4,1964
"92",92,224.359644034667,6,1964
"93",93,279.711363235478,3,1964
"94",94,488.097181558036,4,1964
"95",95,285.047436107928,4,1964
"96",96,871.195787867818,2,1964
"97",97,484.548363358378,3,1964
"98",98,710.774650033044,2,1964
"99",99,724.943693166946,2,1964
