"","(Intercept)","Year2","as.factor(Collapse2)","as.factor(Collapse2):Year2","df","logLik","AICc","delta","weight","R2"
"5",3.28589208652253,-0.0167456543625525,"+","+",7,-838.300813061045,1691.02426763152,0,0.980956421844048,0.369176041138711
"2",3.2767838990375,-0.0244365963541815,NA,NA,5,-844.697246344226,1699.61921178958,8.5949441580517,0.0133438547081045,0.307287754873148
"4",3.33276287994319,-0.0243318078999679,"+",NA,6,-844.502349459579,1701.32048839284,10.2962207613186,0.00569972344784778,0.316465426131769
"1",3.21688924813376,NA,NA,NA,4,-888.421318918903,1784.99189156915,93.9676239376249,3.86224160452695e-21,0
"3",3.22445716219311,NA,"+",NA,5,-888.334221853833,1786.89316280879,95.8688951772663,1.49273815539828e-21,0.0010010975472499
