"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",1.36464360089738,0.126326270608923,10.8025321599337,0,0.28343844979762
"as.factor(Group)2",-0.289689725581131,0.109208473551925,-2.65263047966139,0.00798672525021193,0.28343844979762
"as.factor(Group)3",-0.485301865030375,0.117804274011029,-4.11956076385597,3.79595313637626e-05,0.28343844979762
"as.factor(Group)4",-0.72990796815615,0.138704057100785,-5.26234043482798,1.42233089750476e-07,0.28343844979762
"as.factor(Group)5",-1.07365773380426,0.222566535795611,-4.82398546558784,1.40717676133661e-06,0.28343844979762
"as.factor(Year)1988",-0.378881998061736,0.0807325606889376,-4.69305067036791,2.6916078874617e-06,0.28343844979762
"as.factor(Year)1996",-0.75567417455322,0.0832474848177492,-9.07744151318914,0,0.28343844979762
"as.factor(Year)1999",-0.580675989612288,0.156659927165795,-3.70660193782518,0.000210058709594341,0.28343844979762
"as.factor(Year)2014",-1.01864808220542,0.0835686098141297,-12.189362542599,0,0.28343844979762
