"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",10.5761853415491,0.704761847248899,15.0067506957623,0,0.899254806079312
"as.factor(Coll_Group)2",-1.36594497457314,0.634830519269077,-2.15166872592365,0.0314234549866685,0.899254806079312
"as.factor(Coll_Group)3",-1.08991947612938,0.532533293225123,-2.04666917542117,0.0406905777483366,0.899254806079312
"as.factor(Coll_Group)4",-1.29662543825538,0.673679248663576,-1.92469256078109,0.0542678317344301,0.899254806079312
"as.factor(Coll_Group)5",-1.2481058544454,1.00396194650927,-1.24318044004059,0.213801348853347,0.899254806079312
"as.factor(Year)1996",-13.5033664178565,0.584054131305925,-23.1200597582683,0,0.899254806079312
"as.factor(Year)2014",-13.7855068360425,0.614828140453287,-22.4217239404153,0,0.899254806079312
