"","Group","Recovered","Mean_BA","SD_BA","No_group","BA_SE"
"1","0-25%",0,-11.79,12.1162325703023,4,6.05811628515115
"2","0-25%",1,0.92,8.89830326020444,3,5.13743778260996
"3","25-50%",0,-36.63,5.66654921339355,10,1.79192019877591
"4","25-50%",1,-24.68,11.5922514578428,8,4.09847980753013
"5","50-75%",0,-58.33,10.5916378797712,9,3.53054595992373
"6","50-75%",1,-44.93,3.02468474457064,2,2.1387750938374
"7","75-100%",0,-92.45,7.02078772637295,5,3.13979172235322
"8","75-100%",1,-74.22,6.45156669816327,2,4.56194656154855
