"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",0.751625215118678,0.188570795248631,0.189161004800722,0.380876458429854,1.1223739718075
"Year2",-0.370415086661448,0.0924966683063979,0.0927278716612965,-0.552158375480641,-0.188671797842254
"as.factor(Collapse)1",-0.319070142982538,0.232001059996531,0.232945648139568,-0.77563522369143,0.137494937726354
"as.factor(Collapse)1:Year2",-0.197358851735028,0.0978060269423497,0.0982497146132008,-0.38992475386824,-0.004792949601816
