"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",3.28589208652253,0.101828112519909,32.2690071062652,1.90433858174122e-228
"as.factor(Collapse2)1",-0.0149265810819274,0.127636006243978,-0.116946475537593,0.906902468651347
"Year2",-0.0167456543625525,0.00254764666262893,-6.57298934274999,4.9314989310586e-11
"as.factor(Collapse2)1:Year2",-0.0119942619428008,0.00324428484186114,-3.69704342480608,0.000218125041766815
