"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",2.9060185527364,0.11057638309189,26.2806439447514,0,0.101565388058235
"as.factor(Group)2",-0.117466092588527,0.101158455857396,-1.1612088341297,0.245556983047956,0.101565388058235
"as.factor(Group)3",-0.348180504802697,0.101900181819694,-3.41687815060804,0.000633436239799501,0.101565388058235
"as.factor(Group)4",-0.265881434376429,0.12355585434866,-2.15191288003354,0.0314042166219013,0.101565388058235
"as.factor(Group)5",-1.03218769160039,0.200909474355792,-5.13757598993305,2.78304943313046e-07,0.101565388058235
