"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",1.81336483364991,0.082958628227893,21.8586646426756,0,0.63548679454263
"as.factor(Group)2",-0.246813326037178,0.080008583061608,-3.08483560878871,0.00203664688684069,0.63548679454263
"as.factor(Group)3",-0.707453981042476,0.0854913506922973,-8.2751526945546,2.22044604925031e-16,0.63548679454263
"as.factor(Group)4",-1.21986054536518,0.100698241113901,-12.1140203827927,0,0.63548679454263
"as.factor(Group)5",-2.15039316296815,0.156745246258677,-13.7190327253648,0,0.63548679454263
"as.factor(Year)1988",-0.3331860727893,0.0600715800164877,-5.54648425591355,2.91470860780407e-08,0.63548679454263
"as.factor(Year)1996",-0.600927110572963,0.061813773328757,-9.72157301216556,0,0.63548679454263
"as.factor(Year)1999",-0.511751148975445,0.114894554444665,-4.45409402951219,8.42481748941637e-06,0.63548679454263
"as.factor(Year)2014",-0.821003497733886,0.0619050426859474,-13.2623040403824,0,0.63548679454263
