"","(Intercept)","Collapse3","Year2","Collapse3:Year2","df","logLik","AICc","delta","weight"
"5",2.51749212204152,NA,"+",NA,3,-324.80546889354,655.86093778708,0,0.530682188478293
"3",2.38421367644812,"+","+",NA,4,-324.143685341576,656.708423314731,0.847485527651656,0.347380445168375
"2",2.37857064365238,"+","+","+",5,-324.081975761966,658.802249396273,2.94131160919346,0.121937366353332
"1",2.20734449485047,NA,NA,NA,2,-496.255128606666,996.633968553538,340.773030766458,5.33225720577622e-75
"4",2.07326821657786,"+",NA,NA,3,-495.491590985817,997.233181971635,341.372244184555,3.95178719195972e-75
