"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",-7.08779841783359,0.706652561507187,-10.0301036236483,0,0.570748922081365
"as.factor(Coll_Group)2",1.58733208199999,0.642299056964412,2.47132868215925,0.0134612032230743,0.570748922081365
"as.factor(Coll_Group)3",2.1139021010312,0.529602937376662,3.99148484995611,6.56608837112937e-05,0.570748922081365
"as.factor(Coll_Group)4",2.43531199566685,0.681558164244433,3.57315358164128,0.000352707753092707,0.570748922081365
"as.factor(Coll_Group)5",8.22255785208748,0.992298469668327,8.2863756253054,2.22044604925031e-16,0.570748922081365
"as.factor(Year)1996",3.4384787563558,0.603867000301248,5.69409945342346,1.24024779335485e-08,0.570748922081365
"as.factor(Year)2014",3.73414584596492,0.635081694695958,5.87978818654602,4.10791800575794e-09,0.570748922081365
