"Plot_status","Adjacent_plot_status","Year","Number_of_plots"
0,"Collapsed",1984,11
1,"Collapsed",1984,4
0,"Stable",1984,27
1,"Stable",1984,4
0,"Collapsed",1988,14
1,"Collapsed",1988,11
0,"Stable",1988,15
1,"Stable",1988,6
0,"Collapsed",1999,17
1,"Collapsed",1999,31
0,"Stable",1999,10
1,"Stable",1999,3
0,"Collapsed",2014,21
1,"Collapsed",2014,29
0,"Stable",2014,6
1,"Stable",2014,5
