"","(Intercept)","as.factor(Collapse)","Year2","as.factor(Collapse):Year2","df","logLik","AICc","delta","weight","R_2"
"5",1.06527957428653,"+",NA,NA,3,-222.685223433537,451.573836697583,0,0.558170182761711,0.144249764602969
"3",1.12242274251668,"+","+",NA,4,-222.214363435068,452.770607212016,1.1967705144333,0.30682533542439,0.147285016171457
"2",1.15931352488393,"+","+","+",5,-221.978574934465,454.474391248241,2.90055455065794,0.130893841910576,0.145953205523983
"1",0.571044535753567,NA,NA,NA,2,-229.092055196294,462.284950728723,10.7111140311403,0.00263558952952707,0.00361217846422107
"4",0.62821067263637,NA,"+",NA,3,-228.621195195513,463.445780221535,11.8719435239516,0.00147505037379579,0
