"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",0.922478659596295,0.0369962573476532,0.0370048630703362,0.849950460725599,0.99500685846699
"as.factor(Collapse)1",-0.930321202274428,0.0206283045198976,0.020628922622596,-0.970753147654579,-0.889889256894276
"Year2",-0.0471129478025738,0.0145116745164043,0.0145212985961077,-0.0755741700596969,-0.0186517255454508
"as.factor(Collapse)1:Year2",0.0941631834301106,0.00167246549701649,0.00168005247651202,0.0908703410840097,0.0974560257762115
