"","(Intercept)","Collapse2","Year2","Collapse2:Year2","df","logLik","AICc","delta","weight","R2"
"2",-5.32367491580966,-0.288530680775085,"+","+",8,-284.811524500976,586.756907269668,0,0.991173641908797,0.439132948490721
"3",-6.12288434598478,1.18201467074719,"+",NA,6,-291.873229158746,596.39762110819,9.64071383852172,0.00799273351746194,0.403470189262737
"4",-5.48048506840482,NA,"+",NA,5,-295.228546271285,600.918631004109,14.1617237344416,0.000833624573741417,0.359892954109277
"5",-3.86147676321635,1.24722438659787,NA,NA,4,-327.11475309232,662.53484969609,75.7779424264222,3.47679129426072e-17,0.0507258999170045
"1",-3.17360912555978,NA,NA,NA,3,-330.79839584904,667.778609879898,81.0217026102297,2.52644917214597e-18,0
