Block,Year,BAM,BAFM,BAQM
40,1996,36.05,20.66,15.39
40,2014,43.26,25.71,17.27
41,1964,32.89,11.86,12.65
41,1984,33.84,15.61,10.68
41,1988,19.91,9.67,10.03
41,1996,21.73,9.81,11.68
41,2014,25.01,12.03,12.42
42,1964,56.21,18.07,37.04
42,1984,52.72,22.72,29.51
42,1988,42.39,23.92,17.98
42,1996,50.52,30.71,19.07
42,2014,57.56,36.10,20.31
43,1964,73.18,25.55,44.42
43,1984,56.82,24.28,29.28
43,1988,57.36,23.58,30.49
43,1996,59.89,24.22,32.34
43,2014,67.54,27.38,34.72
46,1964,44.58,23.57,18.86
46,1984,44.85,24.96,18.51
46,1988,26.01,24.86,0.00
46,1996,28.09,26.40,0.00
46,2014,27.55,27.55,0.00
47,1964,70.88,16.61,50.01
47,1984,75.30,18.60,52.68
47,1988,64.24,18.46,42.10
47,1996,66.53,19.49,43.39
47,2014,27.87,8.19,16.39
48,1964,74.02,26.38,45.63
48,1984,71.62,25.34,44.38
48,1988,43.29,25.55,16.81
48,1996,46.49,26.87,17.82
48,2014,35.26,16.75,18.29
49,1964,63.71,15.99,47.71
49,1984,69.58,18.81,50.77
49,1988,73.83,19.36,54.47
49,1996,65.76,20.54,45.22
49,2014,70.46,22.28,47.62
50,1964,42.30,12.42,27.13
50,1984,48.64,13.48,31.47
50,1988,48.05,13.28,30.97
50,1996,52.08,15.55,32.25
50,2014,59.08,20.98,34.14
52,1964,61.66,18.52,41.70
52,1999,25.38,5.81,17.91
52,2014,28.03,7.61,18.87
53,1964,47.92,30.26,14.19
53,1999,29.04,0.00,27.21
53,2014,31.96,0.00,28.06
54,1964,55.91,33.18,19.24
54,1999,25.94,0.00,22.98
54,2014,30.20,0.00,25.86
55,1964,60.87,16.20,39.99
55,1999,43.97,0.00,38.48
55,2014,49.13,0.00,42.09
56,1964,52.23,31.75,16.98
56,1999,22.04,0.00,20.75
56,2014,24.52,0.00,22.73
57,1964,30.19,12.62,14.52
57,1999,18.76,15.99,0.00
57,2014,20.63,17.89,0.00
