"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",4.55885769551242,0.394242191223376,11.5635966849864,0,0.203338150515991
"as.factor(Coll_Group)2",-0.123158521332973,0.359626956005883,-0.342461874106451,0.732003331328095,0.203338150515991
"as.factor(Coll_Group)3",-0.102321328601017,0.289485210618705,-0.353459606390011,0.723743906306946,0.203338150515991
"as.factor(Coll_Group)4",0.348920793830583,0.381990349036933,0.913428296579417,0.361017329017216,0.203338150515991
"as.factor(Coll_Group)5",0.132853685059183,0.537766431101287,0.247047188845747,0.804871704226856,0.203338150515991
"as.factor(Year)1996",-1.25229692970422,0.350105076154598,-3.57691737423206,0.000347670007582623,0.203338150515991
"as.factor(Year)2014",-1.27713416787998,0.367544075733145,-3.47477827069437,0.000511275768485309,0.203338150515991
