"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.01983141081516,0.128036865920796,7.96513881748737,1.65038400046244e-15
"Year22014",0.319942934669992,0.168220675791354,1.90192396484497,0.0571810956674621
"as.factor(Collapse)1",0.199408865642167,0.154819879176793,1.28800556299658,0.19774402670589
"Year22014:as.factor(Collapse)1",-0.926078738240303,0.223075845713377,-4.1514074967587,3.30436819255382e-05
