"(Intercept)","Year2","Collapse2","Collapse2:Year2","df","logLik","AICc","delta","weight","R_sq"
39.7988693704307,"+","+","+",6,-468.322846582588,949.376127947786,0,0.999999999999997,0.338308452174515
49.9146462262134,"+","+",NA,5,-502.906960540257,1016.33116245982,66.9550345120379,2.89000762026787e-15,0.151659485854923
46.0591982596244,"+",NA,NA,4,-506.52794806607,1021.39777647402,72.021648526235,2.29455109893361e-16,0.125696798817809
43.7088410868839,NA,"+",NA,4,-515.866244281533,1040.07436890495,90.6982409571606,2.01895768618068e-20,0.0272712017118977
39.8533931202949,NA,NA,NA,3,-519.487231807346,1045.1778534452,95.8017254974159,1.57369161148113e-21,0
