"","(Intercept)","BAPERCM2","I(BAPERCM2^2)","I(BAPERCM2^3)","df","logLik","AICc","delta","weight","R_sq"
"3",-2.16588391393806,1.95863633038784,1.98881369584191,-0.0028153829247952,6,-151.360886670326,315.733821533423,0,0.618804527078987,0.280125929385506
"2",-2.16390491767193,1.9580264388594,1.97525305392087,NA,5,-153.271180210792,317.256646135869,1.52282460244641,0.288985679028223,0.281023362418838
"1",-1.97876298956988,2.62316336435564,NA,NA,4,-155.535539339849,319.541666914992,3.80784538156934,0.0921913901413786,0.239720897553137
"4",-1.51504180961235,NA,NA,NA,3,-165.150366071667,336.579801910776,20.8459803773534,1.84037514112032e-05,0
