"","(Intercept)","BAPERCM2","I(BAPERCM2^2)","df","logLik","AICc","delta","weight","R_sq"
"2",1.0205237583941,-0.25911634360928,NA,3,-326.643028708478,659.40144203234,0,0.479732107379217,0.0314623946529573
"3",1.05047429931361,-0.3008187793792,-0.137984273249503,4,-325.634648989232,659.46253469344,0.0610926610999059,0.465299604064115,0.0476812832255297
"1",0.982007803531184,NA,NA,2,-329.838484273419,663.73438481478,4.33294278244,0.0549682885566685,0
