"","(Intercept)","as.factor(Collapse)","Year2","as.factor(Collapse):Year2","df","logLik","AICc","delta","weight","R_2"
"2",1.20839353883006,"+",0.098708686965608,"+",7,-467.811380460378,950.042236576188,0,0.999922172399466,0.156052516410058
"3",1.19207614024277,"+",-0.0888440853616013,NA,6,-478.628233819743,969.569900475308,19.5276638991202,5.74894111984683e-05,0.0819065378078207
"5",1.22897906728133,"+",NA,NA,5,-481.152718974701,972.528486276539,22.4862497003514,1.30960135817437e-05,0.0896402508349886
"4",0.965801292157587,NA,-0.11565646791729,NA,5,-481.781643589813,973.786335506763,23.7440989305751,6.98233412018613e-06,0.0280037751684154
"1",0.999081668508855,NA,NA,NA,4,-486.110159874466,980.36846789708,30.326231320892,2.5984163411235e-07,0
