"Block","Year","Group","BAPERCM","Trans","Time1"
33,1999,3,-0.299444867446529,"3-3",3
34,1999,5,-0.862474074611875,"5-5",5
35,1999,3,-0.37615324550658,"3-3",3
36,1999,4,-0.590081930582452,"4-4",4
37,1999,1,0.167888120678818,"1-1",1
38,1999,1,0.100024094652426,"1-1",1
39,1999,2,-0.138158178325446,"2-2",2
40,1999,1,0.0206627008394952,"2-1",2
41,1999,3,-0.339135190190217,"3-3",3
42,1999,3,-0.269760698689956,"3-3",3
43,1999,2,-0.181556521505809,"2-2",2
46,1999,3,-0.370022902444396,"3-3",3
47,1999,2,-0.0613560015966845,"2-2",2
48,1999,3,-0.372020689655172,"3-3",3
49,1999,1,0.0322511943288642,"1-1",1
50,1999,1,0.231181877263021,"1-1",1
52,1999,4,-0.58844929151409,"1-4",1
53,1999,3,-0.394042370103262,"1-3",1
54,1999,4,-0.536134775432805,"1-4",1
55,1999,3,-0.277688610779602,"1-3",1
56,1999,4,-0.57804346191443,"1-4",1
57,1999,3,-0.378631455704436,"1-3",1
58,1999,5,-0.963806814422759,"1-5",1
60,1999,4,-0.583603925978939,"1-4",1
61,1999,3,-0.46098918298494,"1-3",1
62,1999,2,-0.100072746628815,"1-2",1
63,1999,3,-0.269494198920228,"1-3",1
64,1999,3,-0.475999458421117,"1-3",1
65,1999,5,-0.883284654477481,"1-5",1
66,1999,5,-0.782094948426342,"1-5",1
67,1999,1,1.60549111151015,"1-1",1
1,2014,3,-0.298054588931782,"3-3",3
2,2014,1,0.303419812363054,"1-1",1
3,2014,3,-0.318521359638544,"2-3",2
4,2014,4,-0.528780656075698,"2-4",2
5,2014,4,-0.681866631134225,"4-4",4
6,2014,1,0.282724953775935,"1-1",1
8,2014,4,-0.695417883766564,"3-4",3
9,2014,2,-0.0129097030240411,"2-2",2
10,2014,3,-0.357323750467674,"3-3",3
11,2014,3,-0.401879883953669,"4-3",4
12,2014,1,0.388964856025472,"1-1",1
13,2014,1,0.00381042641737211,"2-1",2
14,2014,1,0.284051226872764,"1-1",1
15,2014,3,-0.260893915001865,"3-3",3
16,2014,3,-0.427952247764806,"4-3",4
17,2014,3,-0.468468933857911,"3-3",3
18,2014,1,0.100729850465203,"1-1",1
19,2014,1,0.273052407234928,"1-1",1
20,2014,1,0.479568081878143,"1-1",1
21,2014,1,0.145112295179513,"1-1",1
22,2014,3,-0.312212026622467,"3-3",3
23,2014,1,0.423804199991358,"1-1",1
24,2014,4,-0.660281026066,"1-4",1
27,2014,1,0.497124164454586,"1-1",1
28,2014,1,0.0399348680743514,"2-1",2
29,2014,1,0.0925582063864558,"1-1",1
30,2014,5,-0.815198419779212,"5-5",5
31,2014,4,-0.696555588346923,"5-4",5
32,2014,3,-0.281653446697361,"3-3",3
33,2014,2,-0.248045376939551,"3-2",3
34,2014,5,-0.787794519577894,"5-5",5
35,2014,3,-0.313047121927291,"3-3",3
36,2014,3,-0.470727749641554,"4-3",4
37,2014,1,0.206600570249109,"1-1",1
38,2014,2,-0.0168334453762934,"1-2",1
39,2014,3,-0.344557378866798,"2-3",2
40,2014,1,0.224889572456701,"1-1",1
41,2014,2,-0.239681042190724,"3-2",3
42,2014,1,0.0240678039566942,"3-1",3
43,2014,2,-0.0769928075441999,"2-2",2
46,2014,3,-0.382121511263183,"3-3",3
47,2014,4,-0.606759470560789,"2-4",2
48,2014,4,-0.523680246763549,"3-4",3
49,2014,1,0.1060356945701,"1-1",1
50,2014,1,0.396827992042972,"1-1",1
52,2014,4,-0.545454120640032,"4-4",4
53,2014,3,-0.333108658087449,"3-3",3
54,2014,3,-0.459873311921719,"4-3",4
55,2014,2,-0.192954298170051,"3-2",3
56,2014,4,-0.530425141017986,"4-4",4
57,2014,3,-0.316745991431228,"3-3",3
58,2014,5,-0.932327964683268,"5-5",5
60,2014,5,-0.966333313617416,"4-5",4
61,2014,2,-0.248935755381816,"3-2",3
62,2014,1,0.170654322798421,"2-1",2
63,2014,3,-0.353664533658669,"3-3",3
64,2014,3,-0.373787157382601,"3-3",3
65,2014,5,-0.908431264493189,"5-5",5
66,2014,4,-0.735752958358815,"5-4",5
67,2014,1,2.16177960963238,"1-1",1
