"","lag","semi","No_pairs","Year"
"1",1,176.42,25,1959
"2",2,208.066666666667,30,1959
"3",3,325.513513513513,37,1959
"4",4,318.583333333333,18,1959
"5",5,342.662790697674,43,1959
"6",6,305.941176470588,17,1959
"7",7,493.814814814815,27,1959
"8",8,220.058823529412,34,1959
"9",9,565.875,20,1959
"10",10,220.734375,32,1959
"11",11,250.695652173913,23,1959
"12",12,260.034482758621,29,1959
"13",13,373.875,20,1959
"14",14,246.870967741935,31,1959
"15",15,155.944444444444,18,1959
"16",16,326.581081081081,37,1959
"17",17,439.904761904762,21,1959
"18",18,354.357142857143,28,1959
"19",19,536.810344827586,29,1959
"20",20,280.404761904762,21,1959
"21",21,397.242857142857,35,1959
"22",22,493.590909090909,22,1959
"23",23,341.948275862069,29,1959
"24",24,270.44,25,1959
"25",25,314.451612903226,31,1959
"26",26,216.361111111111,18,1959
"27",27,287.220588235294,34,1959
"28",28,223.04,25,1959
"29",29,298.315789473684,19,1959
"30",30,414.170731707317,41,1959
"31",31,480.178571428571,14,1959
"32",32,414.766666666667,30,1959
"33",33,318.75,26,1959
"34",34,468.08,25,1959
"35",35,274.5,21,1959
"36",36,536.351851851852,27,1959
"37",37,440.131578947368,19,1959
"38",38,245.903846153846,26,1959
"39",39,415.785714285714,28,1959
"40",40,323.625,20,1959
"41",41,423.51724137931,29,1959
"42",42,309.96875,16,1959
"43",43,451.3125,32,1959
"44",44,267.352941176471,17,1959
"45",45,512.375,24,1959
"46",46,466.241379310345,29,1959
"47",47,577.033333333333,15,1959
"48",48,429.741379310345,29,1959
"49",49,490.078947368421,19,1959
"50",50,362.982142857143,28,1959
"51",51,597.208333333333,24,1959
"52",52,339,26,1959
"53",53,857.921052631579,19,1959
"54",54,406.089285714286,28,1959
"55",55,516.217391304348,23,1959
"56",56,527.52380952381,21,1959
"57",57,554.185185185185,27,1959
"58",58,399.928571428571,21,1959
"59",59,576.88,25,1959
"60",60,350.125,16,1959
"61",61,511.980769230769,26,1959
"62",62,209.333333333333,12,1959
"63",63,620.521739130435,23,1959
"64",64,585.34375,16,1959
"65",65,381.411764705882,17,1959
"66",66,668.052631578947,19,1959
"67",67,416.833333333333,12,1959
"68",68,655,21,1959
"69",69,594,11,1959
"70",70,620.529411764706,17,1959
"71",71,464.892857142857,14,1959
"72",72,936,14,1959
"73",73,888.289473684211,19,1959
"74",74,775.8,10,1959
"75",75,872.027777777778,18,1959
"76",76,677.428571428571,7,1959
"77",77,792.205882352941,17,1959
"78",78,548.7,10,1959
"79",79,615.769230769231,13,1959
"80",80,572.15,10,1959
"81",81,688,15,1959
"82",82,754.166666666667,12,1959
"83",83,780.85,10,1959
"84",84,1011.46153846154,13,1959
"85",85,779.5,8,1959
"86",86,1001,10,1959
"87",87,1494.16666666667,6,1959
"88",88,1042.78571428571,7,1959
"89",89,887.5,5,1959
"90",90,1757.91666666667,6,1959
"91",91,834.375,4,1959
"92",92,1449.58333333333,6,1959
"93",93,1863,3,1959
"94",94,1073.875,4,1959
"95",95,1406.875,4,1959
"96",96,1570,2,1959
"97",97,1506.16666666667,3,1959
"98",98,1521.25,2,1959
"99",99,1124,2,1959
