"","lag","semi","No_pairs","Year"
"1",1,33.84,25,1988
"2",2,30.075,20,1988
"3",3,50.5322580645161,31,1988
"4",4,43.53125,16,1988
"5",5,45.15625,32,1988
"6",6,40.5,14,1988
"7",7,67.64,25,1988
"8",8,40.0434782608696,23,1988
"9",9,50.5789473684211,19,1988
"10",10,46.3392857142857,28,1988
"11",11,17.6333333333333,15,1988
"12",12,53.962962962963,27,1988
"13",13,46.6428571428571,14,1988
"14",14,72.3703703703704,27,1988
"15",15,38.7307692307692,13,1988
"16",16,61.3518518518519,27,1988
"17",17,77.2666666666667,15,1988
"18",18,49.7291666666667,24,1988
"19",19,92.5882352941177,17,1988
"20",20,71.0882352941177,17,1988
"21",21,55.96,25,1988
"22",22,59.8846153846154,13,1988
"23",23,83.2692307692308,26,1988
"24",24,52.3181818181818,11,1988
"25",25,95.8695652173913,23,1988
"26",26,50.9285714285714,14,1988
"27",27,80.1842105263158,19,1988
"28",28,48.4166666666667,18,1988
"29",29,89.2083333333333,12,1988
"30",30,65.125,24,1988
"31",31,57.5714285714286,7,1988
"32",32,109.38,25,1988
"33",33,25.1111111111111,9,1988
"34",34,106.236842105263,19,1988
"35",35,63.2307692307692,13,1988
"36",36,118.333333333333,15,1988
"37",37,92.8214285714286,14,1988
"38",38,78.2916666666667,12,1988
"39",39,56.2777777777778,18,1988
"40",40,56.1666666666667,6,1988
"41",41,85.425,20,1988
"42",42,28.0833333333333,6,1988
"43",43,114.088235294118,17,1988
"44",44,58.7222222222222,9,1988
"45",45,131,13,1988
"46",46,98.8461538461538,13,1988
"47",47,118.944444444444,9,1988
"48",48,84.5882352941177,17,1988
"49",49,229.875,4,1988
"50",50,87.2222222222222,18,1988
"51",51,61.8,5,1988
"52",52,88.5666666666667,15,1988
"53",53,145.6875,8,1988
"54",54,103,10,1988
"55",55,119.208333333333,12,1988
"56",56,102.5,6,1988
"57",57,127.041666666667,12,1988
"58",58,181.333333333333,6,1988
"59",59,163.136363636364,11,1988
"60",60,115,5,1988
"61",61,156.863636363636,11,1988
"62",62,144.833333333333,3,1988
"63",63,178.8,10,1988
"64",64,267.083333333333,6,1988
"65",65,114.083333333333,6,1988
"66",66,205.1875,8,1988
"67",67,143.166666666667,3,1988
"68",68,188.928571428571,7,1988
"69",69,245.833333333333,3,1988
"70",70,272.9375,8,1988
"71",71,161.833333333333,3,1988
"72",72,357.416666666667,6,1988
"73",73,393.25,4,1988
"74",74,320.166666666667,3,1988
"75",75,446.8,5,1988
"76",76,373,5,1988
"77",77,340.7,5,1988
"78",78,315.3,5,1988
"79",79,299.5,3,1988
"80",80,381.25,2,1988
"81",81,445.25,2,1988
