"","lag","semi","No_pairs","Year"
"1",1,31.04,25,1996
"2",2,33.8409090909091,22,1996
"3",3,58.0625,32,1996
"4",4,41.1944444444444,18,1996
"5",5,44.0625,32,1996
"6",6,31.40625,16,1996
"7",7,66.8461538461538,26,1996
"8",8,41.9583333333333,24,1996
"9",9,50.925,20,1996
"10",10,43.4827586206897,29,1996
"11",11,24.90625,16,1996
"12",12,58.4821428571429,28,1996
"13",13,51.0625,16,1996
"14",14,74.4814814814815,27,1996
"15",15,45,15,1996
"16",16,59.3928571428571,28,1996
"17",17,71.7941176470588,17,1996
"18",18,50.0625,24,1996
"19",19,87.1578947368421,19,1996
"20",20,74.6388888888889,18,1996
"21",21,54.56,25,1996
"22",22,69.5357142857143,14,1996
"23",23,88.1607142857143,28,1996
"24",24,61.8181818181818,11,1996
"25",25,96.78,25,1996
"26",26,59,15,1996
"27",27,79.775,20,1996
"28",28,54.6052631578947,19,1996
"29",29,101.615384615385,13,1996
"30",30,90.28,25,1996
"31",31,47.9375,8,1996
"32",32,115.58,25,1996
"33",33,21.7,10,1996
"34",34,115,20,1996
"35",35,69.4285714285714,14,1996
"36",36,115.59375,16,1996
"37",37,86.9666666666667,15,1996
"38",38,76.3846153846154,13,1996
"39",39,56.0526315789474,19,1996
"40",40,83.3125,8,1996
"41",41,79.8095238095238,21,1996
"42",42,25.1666666666667,6,1996
"43",43,107.078947368421,19,1996
"44",44,63.4444444444444,9,1996
"45",45,117.214285714286,14,1996
"46",46,104.538461538462,13,1996
"47",47,107.111111111111,9,1996
"48",48,79.4411764705882,17,1996
"49",49,187.5,4,1996
"50",50,83.6111111111111,18,1996
"51",51,42.7,5,1996
"52",52,97.0333333333333,15,1996
"53",53,157.5,8,1996
"54",54,101.25,10,1996
"55",55,121.75,12,1996
"56",56,119.666666666667,6,1996
"57",57,140.375,12,1996
"58",58,205.083333333333,6,1996
"59",59,175.363636363636,11,1996
"60",60,111.5,5,1996
"61",61,168.954545454545,11,1996
"62",62,156.166666666667,3,1996
"63",63,195.95,10,1996
"64",64,289.833333333333,6,1996
"65",65,117.5,6,1996
"66",66,230.875,8,1996
"67",67,138.166666666667,3,1996
"68",68,210.285714285714,7,1996
"69",69,267,3,1996
"70",70,285.4375,8,1996
"71",71,155.166666666667,3,1996
"72",72,370.916666666667,6,1996
"73",73,410.125,4,1996
"74",74,343.5,3,1996
"75",75,449.3,5,1996
"76",76,397.7,5,1996
"77",77,363.2,5,1996
"78",78,329.4,5,1996
"79",79,302.833333333333,3,1996
"80",80,366.5,2,1996
"81",81,425,2,1996
