"","lag","semi","No_pairs","Year"
"1",1,170.38,25,1964
"2",2,114.407407407407,27,1964
"3",3,205.430555555556,36,1964
"4",4,189.035714285714,14,1964
"5",5,191.780487804878,41,1964
"6",6,138.666666666667,15,1964
"7",7,342.354166666667,24,1964
"8",8,174.15625,32,1964
"9",9,242.777777777778,18,1964
"10",10,178.120689655172,29,1964
"11",11,140.068181818182,22,1964
"12",12,187.826923076923,26,1964
"13",13,204.555555555556,18,1964
"14",14,139.655172413793,29,1964
"15",15,93.5333333333333,15,1964
"16",16,172.314285714286,35,1964
"17",17,255.411764705882,17,1964
"18",18,208.678571428571,28,1964
"19",19,250.46,25,1964
"20",20,173.7,20,1964
"21",21,219.19696969697,33,1964
"22",22,293.625,20,1964
"23",23,153.942307692308,26,1964
"24",24,171.3,25,1964
"25",25,179.333333333333,27,1964
"26",26,117.735294117647,17,1964
"27",27,135.451612903226,31,1964
"28",28,109.326086956522,23,1964
"29",29,125.058823529412,17,1964
"30",30,200.320512820513,39,1964
"31",31,174.5,12,1964
"32",32,150.696428571429,28,1964
"33",33,232.958333333333,24,1964
"34",34,208.229166666667,24,1964
"35",35,133.975,20,1964
"36",36,263.74,25,1964
"37",37,221.911764705882,17,1964
"38",38,153.958333333333,24,1964
"39",39,172.354166666667,24,1964
"40",40,138.411764705882,17,1964
"41",41,169.14,25,1964
"42",42,152.4,15,1964
"43",43,193.538461538462,26,1964
"44",44,161.6875,16,1964
"45",45,224.285714285714,21,1964
"46",46,189.611111111111,27,1964
"47",47,229.833333333333,15,1964
"48",48,213.833333333333,27,1964
"49",49,189.305555555556,18,1964
"50",50,205.339285714286,28,1964
"51",51,241.804347826087,23,1964
"52",52,220.48,25,1964
"53",53,362.394736842105,19,1964
"54",54,188.648148148148,27,1964
"55",55,161.068181818182,22,1964
"56",56,204.5,19,1964
"57",57,238.37037037037,27,1964
"58",58,193,21,1964
"59",59,251.847826086957,23,1964
"60",60,133,16,1964
"61",61,203.625,24,1964
"62",62,135.916666666667,12,1964
"63",63,208.113636363636,22,1964
"64",64,211.433333333333,15,1964
"65",65,173.28125,16,1964
"66",66,199.111111111111,18,1964
"67",67,308.041666666667,12,1964
"68",68,335.578947368421,19,1964
"69",69,198.772727272727,11,1964
"70",70,281.90625,16,1964
"71",71,186.535714285714,14,1964
"72",72,334.214285714286,14,1964
"73",73,354.578947368421,19,1964
"74",74,336.05,10,1964
"75",75,300.25,18,1964
"76",76,237.214285714286,7,1964
"77",77,312.205882352941,17,1964
"78",78,124.7,10,1964
"79",79,209.384615384615,13,1964
"80",80,180.2,10,1964
"81",81,316.233333333333,15,1964
"82",82,261.583333333333,12,1964
"83",83,310.1,10,1964
"84",84,502.423076923077,13,1964
"85",85,419.5625,8,1964
"86",86,445,10,1964
"87",87,477.083333333333,6,1964
"88",88,537.571428571429,7,1964
"89",89,190.5,5,1964
"90",90,576.583333333333,6,1964
"91",91,221.375,4,1964
"92",92,469.833333333333,6,1964
"93",93,531.333333333333,3,1964
"94",94,373.125,4,1964
"95",95,167.875,4,1964
"96",96,920.25,2,1964
"97",97,471,3,1964
"98",98,1446.25,2,1964
"99",99,326.5,2,1964
