"","(Intercept)","as.factor(Collapse)","Year2","as.factor(Collapse):Year2","df","logLik","AICc","delta","weight","R_2"
"2",1.01983141081516,"+","+","+",5,-210.001047468476,430.519336316262,0,0.999192603607467,0.214405298741826
"3",1.29330955576487,"+","+",NA,4,-218.823264500316,445.988409342512,15.4690730262506,0.000437101888475899,0.0729605317610943
"5",1.19254410850247,"+",NA,NA,3,-220.78827325666,447.779936343829,17.2606000275676,0.000178466841430197,0.0395750865440582
"4",1.15181632473227,NA,"+",NA,3,-221.053282095954,448.309954022417,17.790617706155,0.000136919612340625,0.0365181824643243
"1",1.05105087746986,NA,NA,NA,2,-223.018290852299,450.137422040732,19.6180857244705,5.49080502862547e-05,0
