"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",0.916827303506078,0.11,22.12,0,0.701632411512092,"Stable"
"as.factor(Group)2",0.89473061047749,0.15,-1.74,0.08,0.701632411512092,"0-25%"
"as.factor(Group)3",0.702660654344731,0.14,-10.74,0,0.701632411512092,"25-50%"
"as.factor(Group)4",0.50749943755062,0.18,-13.47,0,0.701632411512092,"50-75%"
"as.factor(Group)5",0.167981614866076,0.25,-16.18,0,0.701632411512092,"75-100%"
