"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",3.22954646984505,0.39,-8.67,0,0.480581774888755,"Stable"
"as.factor(Coll_Group)2",0.80820086253254,0.46,-3.05,0,0.480581774888755,"0-25%"
"as.factor(Coll_Group)3",20.7510058559636,0.59,3.51,0,0.480581774888755,"25-50%"
"as.factor(Coll_Group)4",25.7309454697314,0.76,3.07,0,0.480581774888755,"50-75%"
"as.factor(Coll_Group)5",99.1507137148356,1.1,7.45,0,0.480581774888755,"75-100%"
