"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",16.53,1.07,15.46,0,0.120823311762156,"Stable"
"as.factor(Group)2",15.31,0.98,-1.24,0.21,0.120823311762156,"0-25%"
"as.factor(Group)3",11.6,0.99,-4.99,0,0.120823311762156,"25-50%"
"as.factor(Group)4",10.69,1.2,-4.87,0,0.120823311762156,"50-75%"
"as.factor(Group)5",7.83,1.95,-4.47,0,0.120823311762156,"75-100%"
