"","(Intercept)","Collapse3","Year2","Collapse3:Year2","df","logLik","AICc","delta","weight","R_2"
"5",-0.388085510836728,"+",NA,NA,4,-250.114544439274,508.573916464755,0,0.458200296273216,0.0472952574089427
"3",-0.251470793535851,"+","+",NA,5,-249.985835600828,510.493410332092,1.91949386733631,0.175486037783761,0.0511671315142588
"1",-1.01460249778365,NA,NA,NA,3,-252.210311114429,510.625750433985,2.05183396922979,0.164249962984947,0
"2",-0.433304498379894,"+","+","+",6,-249.114125283287,510.965092671838,2.3911762070822,0.13861749607281,0.0550905541601341
"4",-0.880933206213168,NA,"+",NA,4,-252.091658444685,512.528144475576,3.95422801082043,0.0634462068852668,0.00392469377784069
