"","(Intercept)","BAPERCM2","I(BAPERCM2^2)","I(BAPERCM2^3)","df","logLik","AICc","delta","weight","R_sq"
"4",5.70042638471774,0.666530451923242,1.29939449400008,-1.31385428886325,6,-131.325417687516,275.662883567802,0,0.413554077442831,0.0329206621340607
"2",5.80256666748262,0.668531296533869,NA,NA,4,-134.26913078104,277.008849797374,1.34596622957139,0.210988825195818,0.0362292334090324
"3",5.75131969736968,0.434855765536079,0.603920529672921,NA,5,-133.187081344012,277.088448402309,1.42556483450693,0.20275652367805,0
"1",5.9207492122222,NA,NA,NA,3,-135.565135878886,277.409341525214,1.74645795741202,0.172700573683302,0.0378874554524788
