"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",0.95594947024472,0.155669633453025,0.156074052583086,0.650049948260662,1.26184899222878
"Year2",-0.121781678018956,0.0565590417924981,0.0567562887225192,-0.23302195981125,-0.0105413962266614
"as.factor(Collapse)1",-0.465038074461964,0.152411675092922,0.153076703154459,-0.765062899516833,-0.165013249407094
"as.factor(Collapse)1:Year2",-0.103994122225716,0.00152176262172275,0.0015286659520627,-0.106990252436152,-0.100997992015281
