"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",7.48,0.68,10.97,0,0.262041254597338,"Stable"
"as.factor(Coll_Group)2",5.73,0.74,-2.36,0.02,0.262041254597338,"0-25%"
"as.factor(Coll_Group)3",8.15,0.99,0.68,0.5,0.262041254597338,"25-50%"
"as.factor(Coll_Group)4",9.4,1.22,1.57,0.12,0.262041254597338,"50-75%"
"as.factor(Coll_Group)5",16.37,1.8,4.94,0,0.262041254597338,"75-100%"
