"Estimate","SE","T.Value","P.value","R_squared","Level"
0.817574476193644,0.09,16.81,0,0.595150942764111,"Stable"
0.775564014269073,0.11,-2.32,0.02,0.595150942764111,"0-25%"
0.613014176139336,0.11,-9.37,0,0.595150942764111,"25-50%"
0.48500449838059,0.13,-11.58,0,0.595150942764111,"50-75%"
0.257309454697314,0.2,-13.04,0,0.595150942764111,"75-100%"
