"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",3.09,0.17,17.84,0,0.0619457397996247,"Stable"
"as.factor(Group)2",2.82,0.12,-2.14,0.03,0.0619457397996247,"0-25%"
"as.factor(Group)3",2.78,0.13,-2.38,0.02,0.0619457397996247,"25-50%"
"as.factor(Group)4",2.9,0.15,-1.26,0.21,0.0619457397996247,"50-75%"
"as.factor(Group)5",1.76,0.26,-5.14,0,0.0619457397996247,"75-100%"
