"","(Intercept)","BAPERCM2","I(BAPERCM^2)","df","logLik","AICc","delta","weight","R_sq"
"2",1.89566049362297,-0.060509142242456,1.0340240066745,4,-222.094727088505,452.677259055059,0,0.883091494266636,0.135670359128416
"1",1.98092286717157,0.344246724818764,NA,3,-225.593200223415,457.475557073337,4.79829801827771,0.0801804567385592,0.0567057644047846
"3",2.04118236191005,NA,NA,2,-227.447089027916,459.03703519869,6.35977614363094,0.0367280489948047,0
