"","Estimate","Std..Error","t.value","p.z"
"(Intercept)",-5.32367491580966,0.455072961833118,-11.6985085080971,0
"Year21996",2.42628669974652,0.555025474403965,4.37148709678971,1.23403144298706e-05
"Year22014",2.10574589098558,0.555025474403965,3.79396259828779,0.000148262016639089
"Collapse2",-0.288530680775085,0.617290998710075,-0.467414365960324,0.640203446349807
"Year21996:Collapse2",1.96659916820649,0.747528353843149,2.63080210683103,0.00851836216157698
"Year22014:Collapse2",2.49522790096021,0.747528353843149,3.3379709119151,0.000843925836133907
