"","(Intercept)","as.factor(Collapse)","Year2","as.factor(Collapse):Year2","df","logLik","AICc","delta","weight","R_2"
"4",1.24860212598508,NA,"+",NA,3,-243.417089101033,493.037568032575,0,0.42183654048355,0.279880518741699
"2",1.22835640385901,"+","+","+",5,-241.291507983186,493.100257345683,0.0626893131074553,0.408819295296052,0.30730848338075
"3",1.31491220566385,"+","+",NA,4,-243.260528620724,494.862937583328,1.82536955075307,0.169344164220399,0.28331898485569
"1",0.855593661766315,NA,NA,NA,2,-283.49671668751,571.094273711154,78.056705678579,4.73528279758859e-18,0
"5",0.92173682190595,"+",NA,NA,3,-283.340157467935,572.883704766379,79.8461367338033,1.93542302891432e-18,0.00569128461352022
