"","Estimate","SE","T.Value","P.value","R_squared","Level"
"(Intercept)",1.5,0.04,34.98,0,0.151207593517866,"Stable"
"as.factor(Group)2",1.57,0.03,1.9,0.06,0.151207593517866,"0-25%"
"as.factor(Group)3",1.58,0.03,2.16,0.03,0.151207593517866,"25-50%"
"as.factor(Group)4",1.55,0.04,1.2,0.23,0.151207593517866,"50-75%"
"as.factor(Group)5",2.04,0.07,7.78,0,0.151207593517866,"75-100%"
