"","Estimate","Std..Error","t.value","p.z"
"(Intercept)",39.7988693704307,3.06236501733019,12.9961219989144,0
"Year22014",7.81994343290588,2.35083542444856,3.326452950121,0.000879588678263543
"Collapse21",9.79179646771323,3.82991882307168,2.55665901029725,0.0105682757468526
"Year22014:Collapse21",-31.6442250360374,2.94005084014728,-10.7631557263997,0
